bookie,rmse
Vulkan Bet,0.45194728632145104
10Bet,0.45197542797685303
GGBET,0.455573539356435
ComeOn,0.45615568515075
Betfred,0.458053790753761
Dafabet,0.45843379646494803
Betfair,0.45951906177577906
Interwetten,0.459858113698809
1xBet,0.46166110666970606
888sport,0.462078647425237
Marathonbet,0.462090388634513
Curebet,0.462608146252367
BetVictor,0.46316184574353003
VOBET,0.463970348387773
Betway,0.46407706478855804
10x10bet,0.46417208095598106
Suprabets,0.464308609461813
Alphabet,0.464319271583618
Lasbet,0.46468892017974106
Betsson,0.466986789476982
Betsafe,0.46700123008970806
NordicBet,0.46758164278686704
BetInAsia,0.47161177711856606
Pinnacle,0.47189855986154006
