key,value
crawl_start,March 2023
crawl_end,November 2023
crawl_dur,38
n_bm_tot,31
n_matches_tot,"39,955"
bm_quantile,25
ts_dur_from,12
ts_dur_till,72
iqr_rtrns,0.1237
n_obs,"2,952,877"
n_groups,"585,938"
gamma_med_nuts,0.0494
gamma_lower_nuts,0.0324
gamma_upper_nuts,0.0624
is_amateur,0.6328
is_pro,0.3672
frac_missings,0.0784
n_per,51
avg_gamma_gmm,0.0332
min_gamma_gmm,0.0029
max_gamma_gmm,0.0741
idxmax_gamma_gmm,Dafabet
idxmin_gamma_gmm,GGBET
adf_stat,-5.35
adf_p,0.0002
corr_gamma_loss,-0.2414
bootstr_std,0.0258
bootstr_up,0.7918
bootstr_low,0.6908
ts_dur_med,19.57
n_chains,4
n_draws,"5,000"
n_tune,"2,000"
n_cores,4
targ_acpt,0.8500
hdi,0.9500
vi_n_iter,"25,000"
vi_n_draws,"10,000"
gamma_fav,0.0608
gamma_udd,0.0215
gamma_pro,0.0389
gamma_amat,0.0354
