pctl,beta_1,std_beta_1,beta_0,std_beta_0,rmse
2,1.7890544886738304,0.19747755217238205,-0.01899886528254378,0.0026661122228927876,0.45505259898138667
4,1.1269522162328287,0.09025216106408201,-0.019296597086381432,0.0984159047657616,0.4549232517970876
6,1.0189725878708447,0.08119804898415381,-0.019099788445156623,0.0027011521197090587,0.45480386812646073
8,1.0733072327477877,0.07022028311311714,-0.018935294006813527,0.0026987651800475785,0.4545988196498194
10,1.0577336689413184,0.04942841065184653,-0.019435967257213114,0.09005079201637595,0.4544381853452628
12,1.0695601785251403,0.06655340933132668,-0.019191458395783532,0.002681159889304644,0.4542423350126337
14,1.1411494309033456,0.055364427930554266,-0.019650527412540336,0.006393320219074845,0.4539009592594234
16,1.1702809073125795,0.049968236450784666,-0.019650739057316714,0.0031789071490132582,0.4536247100667109
18,1.1702120271369403,0.04441992519359973,-0.01965520513534864,0.0029878595165195683,0.4534151537237637
20,1.1403867694717595,0.037930934143619296,-0.019595962783732244,0.0026887340575466965,0.45327426457263365
22,1.120152073099524,0.03912511043859804,-0.019498258411218272,0.002697460537312624,0.45308983944006376
24,1.1017514314092631,0.03266362545482397,-0.01969843681361615,0.005642086561387557,0.4529453523591229
26,1.0705136341351065,0.03266474318432401,-0.019621541807232037,0.00432478090000815,0.4528912014135536
28,1.0650378245627607,0.030605980425804792,-0.019580656270981628,0.0035601005458941455,0.45272968871287045
30,1.0447364505282715,0.029466475297012185,-0.019521180352894563,0.0032972546156451784,0.4526187456782031
32,1.0356173472863242,0.028257009843349137,-0.01943223667921636,0.0027957665162997186,0.45251186172177577
34,1.0369087046067746,0.027440133471400414,-0.019165284449651827,0.0026769325663309777,0.4523610776220433
36,1.0362514970916126,0.026567802167361338,-0.019209464598808883,0.0026784215553114143,0.4522084180042493
38,1.0267226928975803,0.025867112032061733,-0.01926574794591816,0.002782444930023131,0.45210013715143954
40,1.018205473501325,0.025549245639924098,-0.01929624369430031,0.002677351605135989,0.4520202816193822
42,1.0199038267001541,0.025542724774278783,-0.019294600151703922,0.0026752567650723284,0.4518795640420077
44,1.0179837404092338,0.024682557049967437,-0.019289425450973088,0.0026725937291811447,0.45172356172529676
46,1.008880390632593,0.02487742877926854,-0.01929210795339863,0.002672369452011915,0.4516423515394023
48,0.9992137976591005,0.024314097279624247,-0.01927043255131761,0.0026721698061038697,0.4515874192941237
50,0.9872862432505493,0.023793756388485552,-0.01925415775917063,0.0026714725131263745,0.451540145120315
52,0.9891174760682998,0.02358223038874933,-0.019335070350233758,0.0026708110357708892,0.4514412934416991
54,0.9820979850777445,0.02322472240696344,-0.01929943136080224,0.002670556391304471,0.45140576216806844
56,0.9770881536284258,0.02325008350293947,-0.01924639818671073,0.002670028318552733,0.4513400930541607
58,0.9740420053248963,0.022962240974788627,-0.019197077321014888,0.0026694012606881977,0.45128202915806226
60,0.9716158146063035,0.022737792962934517,-0.01918346601167565,0.0026694403489671706,0.4512345051519284
62,0.9612126579980708,0.022706354731549232,-0.01916717599719881,0.0027859324800429,0.451238135072041
64,0.9564519070443317,0.022415316487166465,-0.018963223672180018,0.0026693003765231433,0.45122076656265486
66,0.9596748822887903,0.022352208512886235,-0.018973409912701043,0.0026690674530467297,0.4511390751153557
68,0.9619498704198366,0.022537927161750175,-0.019196394792948667,0.0033585164519791383,0.45104169079004575
70,0.9636189399357292,0.01927815158251286,-0.01925736705481156,0.0044734230736124675,0.451026583665217
72,0.9613990508628419,0.01916171423363307,-0.01930003020815551,0.004382673917128712,0.4509949936114399
74,0.9607197983170818,0.01904926305989262,-0.01927127804144973,0.0044141566300758776,0.45095823051330697
76,0.9611363393882504,0.018896927995814234,-0.01916869144712178,0.004317081011195952,0.4508966135756545
78,0.9634479426785383,0.018938206288121144,-0.0191595672489163,0.004209902126331233,0.450826089887933
80,0.9666853746948766,0.01914659409764884,-0.01913465701968184,0.003954277094432733,0.45075249528809413
82,0.970339450781114,0.01908715828554249,-0.019202504121742903,0.004069062164019362,0.4506833248408089
84,0.9611925156560787,0.018506784750729817,-0.01913486690790188,0.004199423684732909,0.4507218078790591
86,0.9611505248163291,0.018864857761713705,-0.01902303553064659,0.004026331639101692,0.4506668998296064
88,0.9650349679761961,0.018892741086350376,-0.01901453412163887,0.0038877217993509303,0.45058304456251286
90,0.9666228597181948,0.018903714363947777,-0.018850831518079647,0.003911078469864956,0.45051500663497934
92,0.961001160939139,0.019102804720254166,-0.01900063651311656,0.0038497234163258837,0.45050981019816627
94,0.9498992716500787,0.018103966487516155,-0.01886133046840502,0.004094568879749495,0.45054913166603383
96,0.941303839977145,0.017941602107182417,-0.018733886639906275,0.0038482618378399072,0.4505574552989873
98,0.9368678479295692,0.01745074935544606,-0.018658699357893025,0.0037098006981417784,0.4505009299250438
100,0.9191950343056985,0.016995043262855,-0.01854776763978739,0.0037099542148652954,0.4505158618238347
