bookie,gamma,std_gamma,J_stat,p_value
10Bet,0.05736621093750008,0.017750777811821605,10.3335455197413,0.666458119498399
10x10bet,0.03783867187500002,0.010168189231216526,14.52262628000714,0.3380936290947737
1xBet,0.02468730468750001,0.01168937891048491,12.665830129529136,0.47394248215849455
888sport,0.023141015625000004,0.014898926880459967,14.669931533680304,0.32840884861866043
Alphabet,0.03984375000000007,0.009978162378517922,9.468654499359143,0.7366993281700421
BetInAsia,0.021215624999999995,0.014044678643680782,4.3125665339131425,0.9873893563314502
BetVictor,0.013816796874999995,0.013555737494627546,14.639289434365967,0.3304089601806785
Betfair,0.03290703125000003,0.020683011463629542,15.665694548592194,0.26765438462131064
Betfred,0.032512207031250046,0.017700633837426476,10.194453075384777,0.677961183361213
Betsafe,0.036473437500000004,0.017429834119291176,12.68833710324884,0.47216332167642916
Betsson,0.039007031250000095,0.017536434436696287,14.731649359877093,0.324403565464462
Betway,0.016001562499999997,0.013679779674462123,15.854123301270153,0.25709696466789844
ComeOn,0.03715468750000005,0.014529860207923039,8.309235587187539,0.8228868601845865
Curebet,0.035029296875000046,0.012378181922012668,12.700559075412396,0.4711982969612325
Dafabet,0.07411250000000007,0.024422672086897225,12.62802817854321,0.4769366159756524
GGBET,0.002930468750000005,0.010408058288860569,11.091997741289628,0.6031108016863511
Interwetten,0.04522851562500006,0.01562171563924137,25.226626416713923,0.021550358697623645
Lasbet,0.04139121093750005,0.01003337330670153,10.848588725029362,0.6235002103297327
Marathonbet,0.04240136718750005,0.011988664877416863,13.591205648192497,0.4032496252311889
NordicBet,0.04267851562500009,0.017712157925067563,11.85973625339518,0.5391777474642201
Pinnacle,0.013300781250000003,0.011222452907115139,10.051754092462394,0.6896968724642113
Suprabets,0.035527734375000036,0.009916826189588442,13.221967445083363,0.43081624283953
VOBET,0.03431796875000004,0.009935502201915998,12.097556352839984,0.5196609215024436
Vulkan Bet,0.01839531250000002,0.015680160105336023,10.311589213342103,0.6682776522731769
