bookie,rmse
10Bet,0.45197542797685336
10x10bet,0.4641720809559815
1xBet,0.46166110666970656
888sport,0.46207864742523785
Alphabet,0.46431927158361896
BetInAsia,0.47161177711856656
BetVictor,0.4631618457435307
Betfair,0.45951906177577956
Betfred,0.45805379075376196
Betsafe,0.4670012300897083
Betsson,0.4669867894769828
Betway,0.4640770647885583
ComeOn,0.45615568515075
Curebet,0.4626081462523677
Dafabet,0.4584337964649486
GGBET,0.4555735393564354
Interwetten,0.4598581136988097
Lasbet,0.46468892017974156
Marathonbet,0.4620903886345131
NordicBet,0.4675816427868674
Pinnacle,0.4718985598615407
Suprabets,0.4643086094618132
VOBET,0.4639703483877735
Vulkan Bet,0.4519472863214514
