bookie,gamma,std_gamma,J_stat,p_value
10Bet,0.05736621093750008,0.017750811945036284,10.322625711986746,0.6673632146150699
10x10bet,0.03783867187500002,0.010168444396531954,14.547202370741255,0.33646564436521875
1xBet,0.02468730468750001,0.011689473778879333,12.680947996899071,0.47274713313091987
888sport,0.023087695312500003,0.014896324389333237,14.670307852925127,0.32838433253471355
Alphabet,0.03984375000000007,0.009978674401438447,9.457843293018998,0.737552944411105
BetInAsia,0.021215624999999995,0.014044882259407084,4.378528908700216,0.9864581921522017
BetVictor,0.013880468749999996,0.01355487840451402,14.69741470595065,0.3266214390146263
Betfair,0.03290703125000003,0.02068295064539822,15.65561132819076,0.26822780287376957
Betfred,0.032512207031250046,0.0177032976299418,10.205468020542456,0.677052387765406
Betsafe,0.036473437500000004,0.017432597035607667,12.665868640833098,0.4739394356085379
Betsson,0.039007031250000095,0.017538765367353167,14.73621416391162,0.3241085616210357
Betway,0.016001562499999997,0.01367924079615614,15.847356534906929,0.2574708985215182
ComeOn,0.03715468750000005,0.014529837188301182,8.304848040003671,0.8231884462864818
Curebet,0.035029296875000046,0.012378521366937742,12.713926772268097,0.4701437118100169
Dafabet,0.07414174804687518,0.024424650094320453,12.559983873687706,0.4823444400544896
GGBET,0.002930468750000005,0.010408181364987721,11.073031939867535,0.6046994571760229
Interwetten,0.04522851562500006,0.015621681401780885,25.235168313111775,0.02149445377519607
Lasbet,0.04139121093750005,0.010033994512808626,10.851530850636665,0.6232538544397835
Marathonbet,0.04240136718750005,0.01198865273187259,13.596375686922658,0.40287022429384967
NordicBet,0.04267851562500009,0.01771550481768714,11.84437274255615,0.5404448155915828
Pinnacle,0.013389453125000002,0.011222679834076812,10.04273679124173,0.6904359483116571
Suprabets,0.035527734375000036,0.00991731555601649,13.223303657616436,0.4307148630378135
VOBET,0.03431796875000004,0.009936329089747419,12.101631295647008,0.5193282213367075
Vulkan Bet,0.01831992187500002,0.01568272815407577,10.237666951315466,0.6743935787901305
