bookie,gamma,std_gamma,J_stat,p_value
10Bet,0.06018750000000008,0.018151127945601392,10.33087845998685,0.6666792100484109
10x10bet,0.028625000000000025,0.010347874868625357,16.048177676183638,0.24653807038406228
1xBet,0.028937500000000026,0.011979492431426904,12.774172038709281,0.46540279457732425
888sport,0.034125000000000044,0.016015786758380706,15.165220179619672,0.2971523237042306
Alphabet,0.030000000000000034,0.010233186530325693,11.375250565687756,0.5794131341207931
BetInAsia,0.013687500000000002,0.014404857586928702,6.093226935475464,0.942694032151689
BetVictor,0.02037500000000001,0.01407771088782153,15.048846276997475,0.3043133410051235
Betfair,0.036500000000000046,0.020999216306895562,15.757343934325696,0.2624818654901462
Betfred,0.035937500000000046,0.018498010986666893,10.243265798449128,0.6739309276026544
Betsafe,0.023250000000000017,0.01786422823399794,16.242600805967967,0.23627738037450507
Betsson,0.023375000000000017,0.01792111802053619,21.189079297975297,0.06927206576349232
Betway,0.024500000000000022,0.013881763570650296,16.30469263015532,0.23306734550908326
ComeOn,0.03950000000000005,0.014806017469621149,8.340753697106141,0.8207141242227859
Curebet,0.026375000000000023,0.012600475974498886,13.925353545622093,0.3791219121565055
Dafabet,0.09793750000000015,0.03494155582033987,12.994549605436925,0.4482327680687326
GGBET,0.007562499999999995,0.010551199060679157,11.166140877911804,0.5969016956402604
Interwetten,0.03875000000000005,0.016561102020597743,25.662029229252017,0.018866196210742037
Lasbet,0.031312500000000035,0.010355475983421118,12.581571720247004,0.4806262280744218
Marathonbet,0.03843750000000005,0.012145486986801403,13.62105075366186,0.4010620387389694
NordicBet,0.029625000000000033,0.01805230260333326,15.080142049774663,0.30237643812321235
Pinnacle,0.014187500000000002,0.011318186058132557,10.04852071727156,0.6899619226129584
Suprabets,0.026625000000000024,0.010161883949983781,14.452618131316816,0.34275775273181797
VOBET,0.027250000000000024,0.010231285513660413,12.666466144904641,0.47389216928035194
Vulkan Bet,0.0120625,0.016510033251120243,10.4907210406295,0.6533978963876526
