bookie,gamma,std_gamma,J_stat,p_value
10Bet,0.049787109375000076,0.016473795074999638,9.164720129485406,0.7603922451833691
10x10bet,0.03633984375000006,0.009533899643188154,14.437109660204205,0.34379627583313793
1xBet,0.025366406250000015,0.010986763738141465,13.325789657956792,0.4229734054567542
888sport,0.02330625000000002,0.013789420094118276,13.768007711395988,0.3903826130584216
Alphabet,0.03832734375000006,0.009307621390337358,9.648264039131275,0.7224129050244301
BetInAsia,0.016226562500000007,0.013261856983749374,4.083967409339663,0.990264956994993
BetVictor,0.014918750000000008,0.012594632680394003,15.463036010741773,0.2793443542908681
Betfair,0.03344677734375004,0.01862969342070588,14.794391181563734,0.3203637956089084
Betfred,0.03188867187500005,0.01682267932667544,10.528728681005969,0.6502316125624038
Betsafe,0.03516757812500004,0.016208309090677882,13.778405248661267,0.38963290003540446
Betsson,0.038506250000000075,0.01630462914618217,14.672120553772436,0.32826625661355996
Betway,0.007900195312500004,0.01255318523224753,16.6934319780387,0.21370023481091588
ComeOn,0.036562500000000046,0.013431641165674876,11.874656938004243,0.5379478754308625
Curebet,0.03717773437500002,0.011631729505104202,12.2084810607958,0.5106270375042467
Dafabet,0.07197734375000002,0.022475347985688014,11.615671186814186,0.5593821743680902
GGBET,0.004193750000000006,0.009648133694922578,9.797370691169528,0.710414192211405
Interwetten,0.045997656250000074,0.014397864193401347,26.21935959538197,0.01588378934675506
Lasbet,0.04034882812500004,0.0093796825720029,10.61756894433212,0.6428205198851147
Marathonbet,0.03977500000000005,0.011205016978734838,13.82604699412984,0.386207767251012
NordicBet,0.04112109375000006,0.01645318355935546,12.706525478365572,0.4707274870647913
Pinnacle,0.010509375,0.010580783795571248,8.62475607716704,0.8006567367283175
Suprabets,0.03485625000000002,0.009275108958395221,11.83190324180811,0.5414737180789995
VOBET,0.03437500000000003,0.009253059180479743,11.837106107443123,0.5410443560879967
Vulkan Bet,0.020749218750000013,0.01454534263435319,9.95962815276507,0.6972323404612246
