bookie,rmse
10Bet,0.4506329001621001
10x10bet,0.46321576866533537
1xBet,0.46000634955073305
888sport,0.46160529381650267
Alphabet,0.46346578982538883
BetInAsia,0.4707390453520663
BetVictor,0.4621940198546001
Betfair,0.4583204779612772
Betfred,0.45739748147538134
Betsafe,0.4660774895104438
Betsson,0.466213236370539
Betway,0.4625812602582558
ComeOn,0.4541036851123833
Curebet,0.46220090389302326
Dafabet,0.4579720563364348
GGBET,0.4544169507341121
Interwetten,0.45741629687251867
Lasbet,0.46348911090224615
Marathonbet,0.46041911548688896
NordicBet,0.4668228930728241
Pinnacle,0.4710169940574889
Suprabets,0.46333005728641785
VOBET,0.4629975537732495
Vulkan Bet,0.4517441219697539
