bookie,gamma,std_gamma,J_stat,p_value
10Bet,0.008326171874999998,0.002732346471874033,9.027785200164818,0.7708418204768204
10x10bet,0.006093749999999985,0.00158175141381784,14.34726738268954,0.34985021512706854
1xBet,0.004312499999999988,0.0018401839927488317,13.139482563109054,0.4370963195939664
888sport,0.00391874999999999,0.0023072955100839595,13.770992156760338,0.39016733973897055
Alphabet,0.0064187499999999835,0.0015439217407219534,9.7998429210369,0.7102142807004135
BetInAsia,0.0017718749999999775,0.002203590105070896,5.161181330880475,0.9714713459523698
BetVictor,0.0025812499999999915,0.002098042131624697,15.336927816984373,0.28679382904087786
Betfair,0.005505468749999987,0.003109965101147124,14.92713966841166,0.3119233599392281
Betfred,0.005343749999999989,0.0028137672196576814,10.481296311349622,0.654182594655989
Betsafe,0.00591484374999998,0.002708131514172911,13.67532305002704,0.3971000899766056
Betsson,0.006468749999999985,0.002725129784062927,14.44962852816321,0.3429578017362254
Betway,0.004387499999999981,0.002096073010531183,17.381281720322026,0.18245507944957476
ComeOn,0.00621562499999999,0.00222944386029092,11.591420934273646,0.5613976261663068
Curebet,0.006264843749999987,0.0019331971868503798,11.646979857933692,0.5567820153442843
Dafabet,0.012403125000000008,0.003787964344452046,11.551777943541243,0.5646950410614348
GGBET,0.0013781249999999762,0.001600606364872458,9.828172017880089,0.7079213655004972
Interwetten,0.0077874999999999915,0.002367545231887339,25.609194468568045,0.019174477315746702
Lasbet,0.0037609374999999917,0.0015537578564404487,10.30528849915,0.6687995521635581
Marathonbet,0.006728906249999989,0.0018743512006196845,13.728595850874044,0.39323150504444615
NordicBet,0.006918749999999984,0.002752598786278709,12.598596727009115,0.4792728219220248
Pinnacle,0.0019999999999999792,0.0017665597113843748,8.456883372252221,0.8126150491470996
Suprabets,0.005793749999999981,0.0015381635244717622,11.722902574040043,0.5504862812605538
VOBET,0.0057031249999999825,0.0015395005250065563,11.981579177596728,0.5291549453874432
Vulkan Bet,0.0034999999999999745,0.0024143811504417994,9.956375881646784,0.6974977196093044
