sample,hours,beta_1,se,n_obs,n_series
produktion,24.0,1.2412789507503394,0.04881015157958046,1291205,175166
produktion,12.0,1.185328037889248,0.047930899482025786,1291205,175166
produktion,6.0,1.028494803513699,0.04862462524558268,1291205,175166
produktion,3.0,0.9301930783123562,0.04841724600352848,1291205,175166
produktion,1.0,0.8735722283934202,0.04981949505170791,1291205,175166
produktion,0.25,0.8663710461759349,0.051520944505074655,1291205,175166
vollstaendig,24.0,1.25134417428743,0.04537008124678241,1468036,184012
vollstaendig,12.0,1.1516043317896574,0.04450599073253088,1468036,184012
vollstaendig,6.0,0.9727942697452919,0.045018065987256835,1468036,184012
vollstaendig,3.0,0.9020497860865885,0.044871226349922855,1468036,184012
vollstaendig,1.0,0.9036631128360014,0.04616887981310796,1468036,184012
vollstaendig,0.25,0.9094326572889496,0.04778538027733073,1468036,184012
