threshold,hours,beta_1,se,n_obs,n_series
< 10,24.0,0.9952081624561461,0.07475462587355554,596143,123795
< 10,12.0,1.07833903494801,0.0718086431113046,596143,123795
< 10,6.0,0.8684195617965297,0.07320071180437641,596143,123795
< 10,3.0,0.7799840613970273,0.07269589619355714,596143,123795
< 10,1.0,0.7972108542972134,0.07421010957486304,596143,123795
< 10,0.25,0.7926779472435902,0.07669481405318967,596143,123795
< 15,24.0,1.1338206120017202,0.05837864906151985,985691,157065
< 15,12.0,1.08808314064512,0.0570961543266612,985691,157065
< 15,6.0,0.9099185867456208,0.05808932318667619,985691,157065
< 15,3.0,0.7965999451891068,0.05772762668521482,985691,157065
< 15,1.0,0.7309367545114903,0.05913449677705067,985691,157065
< 15,0.25,0.7162769980482715,0.06099913667355927,985691,157065
< 18,24.0,1.2054600238287678,0.05371769343879465,1167656,168489
< 18,12.0,1.164177101772256,0.05268976716693626,1167656,168489
< 18,6.0,0.9781569315417804,0.053461946510224644,1167656,168489
< 18,3.0,0.8597979267460442,0.05317226154996524,1167656,168489
< 18,1.0,0.793807449053722,0.05452137488567117,1167656,168489
< 18,0.25,0.788361908646575,0.056244671572336605,1167656,168489
< 20,24.0,1.2412789507503394,0.04881015157958046,1291205,175166
< 20,12.0,1.185328037889248,0.047930899482025786,1291205,175166
< 20,6.0,1.028494803513699,0.04862462524558268,1291205,175166
< 20,3.0,0.9301930783123562,0.04841724600352848,1291205,175166
< 20,1.0,0.8735722283934202,0.04981949505170791,1291205,175166
< 20,0.25,0.8663710461759349,0.051520944505074655,1291205,175166
< 21,24.0,1.25134417428743,0.04537008124678241,1468036,184012
< 21,12.0,1.1516043317896574,0.04450599073253088,1468036,184012
< 21,6.0,0.9727942697452919,0.045018065987256835,1468036,184012
< 21,3.0,0.9020497860865885,0.044871226349922855,1468036,184012
< 21,1.0,0.9036631128360014,0.04616887981310796,1468036,184012
< 21,0.25,0.9094326572889496,0.04778538027733073,1468036,184012
