Bookies,n,anteil_exc
Marathonbet,12094,0.09955349760211675
Betfred,4863,0.08595517170470902
Betway,8113,0.08295328485147295
Alphabet,11413,0.05966879873828091
ComeOn,7971,0.05896374357044286
Curebet,7291,0.05609655739953367
Lasbet,11316,0.05602686461647225
1xBet,13109,0.05591578304981311
Interwetten,5696,0.05565308988764045
VOBET,11482,0.055042675492074554
Suprabets,11218,0.05464432162595828
10x10bet,11122,0.05044056824312174
GGBET,11599,0.047417880851797566
10Bet,5549,0.044872950081095694
Dafabet,3674,0.03402286336418073
BetVictor,5609,0.03244785166696381
NordicBet,4501,0.021328593645856476
Betsson,4515,0.021040974529346623
Betsafe,4494,0.019804183355585224
Pinnacle,8653,0.008898647867791517
BetInAsia,6369,0.003925262992620505
Betfair,3535,0.0016973125884016972
Vulkan Bet,4466,0.0008956560680698612
888sport,5460,0.0005494505494505495
