n_updates,n_serien,anteil
1,607697,0.4262817275262771
2,133377,0.09356007676896917
3,108995,0.07645681464895593
4,86642,0.06077683687155227
5,71854,0.05040348602950667
6,63695,0.0446801854127735
7,51793,0.03633127942670191
8,44570,0.031264555520014364
9,37096,0.026021762431466297
10,31076,0.021798907950189957
11,26019,0.01825156989174902
12,22643,0.015883404322182753
13,19050,0.0133630195794542
14,16186,0.011354007082049642
15,13528,0.009489497578522646
16,11547,0.008099883836428222
17,10199,0.007154301138627474
18,8391,0.00588604185255644
19,7164,0.005025337126887658
20,54054,0.037917305005134766
