grp,var1,var2,vcov,sdcor,model,variant
Matchup,(Intercept),NA_character_,1.319512990323617,1.1487005659977787,Eq1_resp_to_info,crossed
Bookies,(Intercept),NA_character_,1.8087534314873138e-06,0.001344899041373483,Eq1_resp_to_info,crossed
Bookies,RtrnOpnCls,NA_character_,1.6507532035965713,1.2848164085177973,Eq1_resp_to_info,crossed
Bookies,(Intercept),RtrnOpnCls,-0.0002965342853325772,-0.1716106180349981,Eq1_resp_to_info,crossed
Residual,NA_character_,NA_character_,0.0032432637865527246,0.05694966010919402,Eq1_resp_to_info,crossed
Bookies,(Intercept),NA_character_,8.224192779606363e-12,2.8677853440601797e-06,Eq1_resp_to_info,bookmaker_only
Bookies,RtrnOpnCls,NA_character_,2.6389114447725775e-09,5.137033623378941e-05,Eq1_resp_to_info,bookmaker_only
Bookies,(Intercept),RtrnOpnCls,-1.473190973707049e-10,-1.0000000000000002,Eq1_resp_to_info,bookmaker_only
Residual,NA_character_,NA_character_,1.2626792051935318,1.1236899951470298,Eq1_resp_to_info,bookmaker_only
Matchup,(Intercept),NA_character_,0.002697649810650731,0.05193890459617656,Eq2_ags_test,crossed
Bookies,(Intercept),NA_character_,1.6162799214490465e-06,0.0012713299813380658,Eq2_ags_test,crossed
Bookies,Exog,NA_character_,3.744778926834714e-06,0.0019351431282555597,Eq2_ags_test,crossed
Bookies,(Intercept),Exog,-1.3497604883523706e-06,-0.5486372991600957,Eq2_ags_test,crossed
Residual,NA_character_,NA_character_,0.0004949077627615807,0.022246522486932215,Eq2_ags_test,crossed
Bookies,(Intercept),NA_character_,1.98421141536484e-06,0.0014086203943450626,Eq2_ags_test,bookmaker_only
Bookies,Exog,NA_character_,2.7654830026588345e-06,0.0016629741437132553,Eq2_ags_test,bookmaker_only
Bookies,(Intercept),Exog,-2.3424992941030087e-06,-1.0000000000000002,Eq2_ags_test,bookmaker_only
Residual,NA_character_,NA_character_,0.0026526693558586393,0.05150407125517981,Eq2_ags_test,bookmaker_only
