pctl,beta_1_mixedlm,beta_1_ols,gate_diff,se_model,se_iid,se_cluster,factor_vs_model,factor_vs_iid,t_model,t_cluster,sig_model,sig_cluster
2,2.591474227144837,2.301013455948082,0.29046077119675484,0.2533304502802401,0.1790459966412032,0.2879160901380132,1.1365238163020421,1.6080565638950242,6.282206601631627,4.518724380163812,True,True
4,1.5804369785889865,1.549435845501774,0.031001133087212418,0.1063871736996539,0.08679529287529122,0.19300428884143608,1.8141687773971191,2.2236723035055315,5.4558924577472325,2.8467545918275765,True,True
6,1.467120253934065,1.4096879377984086,0.05743231613565647,0.0619003679915218,0.06397794737499254,0.15777022803394194,2.5487768999297544,2.4660095315219595,7.54632434492222,2.596737945452359,True,True
8,1.5041588880568433,1.414957492098845,0.08920139595799825,0.1118740528150874,0.05408308019924384,0.14069026038059687,1.2575772204582483,2.6013729222205786,4.506486315376001,2.9494400747876743,True,True
10,1.485253923721853,1.4050043426275538,0.08024958109429914,0.108092916585569,0.04777689826579995,0.127849847204236,1.1827772923772202,2.6759762949231582,4.489229628083113,3.167812488509059,True,True
12,1.4305575805053437,1.3757790091473656,0.054778571357978034,0.0913848245944815,0.042735419519577315,0.11573511765043343,1.266458825784324,2.708177875670896,4.711477889419115,3.246888384235883,True,True
14,1.450879860535605,1.4159160303255651,0.0349638302100399,0.0744916507687584,0.03920708863629393,0.10593678656302707,1.4221296678185131,2.70198043893934,6.0527569987038445,3.926077463923412,True,True
16,1.429150576032559,1.4262321287455066,0.0029184472870522615,0.0387925750375619,0.03641585062237732,0.09809097529059399,2.528601805773783,2.6936340525935063,11.06269887000342,4.345273634835379,True,True
18,1.4283583964878095,1.4135472744586803,0.014811122029129153,0.0518457372392779,0.03405025737849661,0.09155114427273692,1.7658374467742843,2.6887063805442253,8.262171960461366,4.517117483826261,True,True
20,1.381974764390061,1.37445608502947,0.00751867936059103,0.0489714395708587,0.03200867641080846,0.08600577097201029,1.7562434701876624,2.686951808571768,7.799949679595732,4.353848361539983,True,True
22,1.3449402553987977,1.3449368038504288,3.451548368893498e-06,0.0428592528906866,0.03016810249483067,0.0803339159766822,1.8743657567147867,2.6628759959446398,8.04820971281452,4.2937879929885465,True,True
24,1.311588161190867,1.3167854984308474,0.005197337239980282,0.0392774431616438,0.028775557744474194,0.07673424344362588,1.9536466039255922,2.666646607687778,7.933005208830575,4.128345888541655,True,True
26,1.2706242809586998,1.2769422004961806,0.006317919537480732,0.037834243151226,0.02762314150744652,0.07364270581816973,1.9464564290030835,2.665978661345143,7.1528926818225615,3.7606195674012173,True,True
28,1.2583775371566424,1.2631907783464351,0.004813241189792761,0.0327867193908363,0.026565761255203515,0.0705276810202186,2.1511051526530793,2.6548338044107105,7.880554747690231,3.7317373056826386,True,True
30,1.2270464936437382,1.2335019291680216,0.006455435524283404,0.031717317317268,0.025517975937329653,0.06757811288083926,2.1306377271714405,2.6482552161192694,7.15843939046277,3.4552892824893826,True,True
32,1.2121072367775851,1.218045896792056,0.0059386600144708535,0.0306305804023898,0.024730102915232935,0.0652737891621069,2.1310007288341892,2.639446725549224,6.924688791108787,3.3404816786496165,True,True
34,1.2078778332490905,1.2135469070096079,0.005669073760517396,0.0290861760121181,0.024011199436703705,0.06332979371795439,2.1773159074458412,2.6375106285256193,7.146963325893472,3.3719817241259387,True,True
