,B0_pre_fix,B_match_fix,C_norm_pre_fix,C_normalized
normalized,False,False,True,True
b1_min,0.9192,0.9335,1.0151,1.0313
b1_max,1.7891,1.9501,2.3414,2.5915
b1_at50,0.9873,1.0089,1.1029,1.1273
b1_cross1_pctl,47.8,55.0,,
n_signif_pctl,31,28,4,1
gamma_mean,0.0332,0.0332,0.032,0.032
gamma_min,0.0029,0.0029,0.0042,0.0042
gamma_max,0.0741,0.0741,0.072,0.072
bootstr_std,0.0249,0.0249,0.0307,0.0307
adf_stat,-5.35,-5.35,-3.79,-3.79
adf_p,0.0002,0.0002,0.0559,0.056
iqr_rtrns,0.1237,0.1237,0.1207,0.1207
n_groups_dfoc,169574,169574,172663,172663
T6_AvgChange_coef,0.7413,0.7413,0.8206,0.8206
T6_AvgChange_SE,0.0249,0.0249,0.0307,0.0307
T6_AvgChange_signif,True,True,True,True
rmse_spearman_vs_B0,1.0,1.0,0.9922,0.9922
