pctl,A,B,C,D
2.0,2.591474227144837,1.2732639330796842,1.276737563799427,1.2969353196194497
4.0,1.5804369785889865,1.1821116080797553,1.2525972702055763,1.293362043664899
6.0,1.467120253934065,1.1728656791627738,1.2288839118903612,1.2897865955427568
8.0,1.5041588880568433,1.1848885458375968,1.2059934516745752,1.2862067103560453
10.0,1.485253923721853,1.2344836178459895,1.184353645429405,1.2826195509633147
12.0,1.4305575805053437,1.251542391209855,1.1643587725602387,1.279021859971228
14.0,1.450879860535605,1.3079479015628588,1.1463143384327554,1.2754100915326951
16.0,1.429150576032559,1.3001075378469888,1.1303948840038165,1.2717805278451833
18.0,1.4283583964878095,1.301909485064975,1.1166173554726397,1.2681293845143953
20.0,1.381974764390061,1.2530032731475376,1.1048314894701194,1.2644529078823004
22.0,1.3449402553987975,1.275363927970446,1.094727469080879,1.2607474661410647
24.0,1.311588161190867,1.2997895761989386,1.0858598218456454,1.2570096347006936
26.0,1.2706242809586998,1.2626718700637636,1.0776852820064893,1.2532362749849106
28.0,1.2583775371566424,1.2466929276259178,1.0696112380529486,1.2494246047243571
30.0,1.2270464936437382,1.2557168362526567,1.061050530101045,1.2455722570074936
32.0,1.2121072367775851,1.2841571054363483,1.0514778255703072,1.2416773249207078
34.0,1.2078778332490903,1.2709528088821127,1.0404815903788356,1.2377383607816899
36.0,1.2025179243843471,1.246241102467317,1.0278066821481442,1.2337543253314176
38.0,1.1876737408018152,1.243378621582335,1.0134016202450673,1.2297249121386058
40.0,1.175524938339045,1.25579961918315,0.9974204293218583,1.225650117753784
42.0,1.1747366592561341,1.243472819668877,0.9802267954358412,1.2215303173542322
44.0,1.1682630658537796,1.2555282546554125,0.9623758047906599,1.217366184471671
46.0,1.1552386286228835,1.2548050425582578,0.9445785882534155,1.2131585951586301
48.0,1.142002323702597,1.261948278205036,0.9276521348360399,1.2089085220658076
50.0,1.1273477317077716,1.2549530273447396,0.9124577814368239,1.204616925070991
52.0,1.1282753423422618,1.2547142030935818,0.8998328779351343,1.2002846458703367
54.0,1.119040960187915,1.2752297071308287,0.8905207863396378,1.1959123142245371
56.0,1.1122711338007976,1.2675727898106202,0.8851046448519363,1.1915002732895088
58.0,1.1082850258130563,1.2665443172145003,0.8839501855991161,1.1870485306367249
60.0,1.1049335790463837,1.2394336659517167,0.8871623432992523,1.1825567402080983
62.0,1.0926475769748234,1.2263395909734287,0.894559466644389,1.1780242186204326
64.0,1.087073026768317,1.2123272920771877,0.9056677083687098,1.173449997038016
66.0,1.0895355006938237,1.210125339448245,0.9197367120169667,1.1688329074030173
68.0,1.0893217212036348,1.2028828394909004,0.9357786595549543,1.1641715590923056
70.0,1.0838552140258542,1.189183579354759,0.9526078583896525,1.1594648662314273
72.0,1.0810588793646032,1.1878403632987815,0.9689336403193916,1.1547118852905174
74.0,1.0798310749852278,1.2072234693351924,0.9834349441610695,1.1499120279107216
76.0,1.079698956496032,1.208738234024081,0.994845121396547,1.1450652462907474
78.0,1.0815144284607388,1.1942302579107251,1.0020364584116623,1.1401721737282848
80.0,1.0847665254284176,1.2030148328895813,1.0040968193223976,1.135234235619156
82.0,1.0877974502417556,1.2008001196051745,1.0003923391461624,1.130253719571644
84.0,1.076804608550565,1.1924841360351142,0.9906107993532446,1.1252337945570943
86.0,1.0759493019283943,1.190608572890685,0.9747813632070164,1.1201784707876274
88.0,1.0796671059283058,1.1988639306778606,0.9532676518249035,1.115092494154489
90.0,1.0805151875166668,1.2101083668075787,0.9267325949179461,1.10998117140784
92.0,1.079225053664955,1.2054661038557384,0.8960749689580073,1.1048501246220037
94.0,1.0606048353252693,1.197398109130994,0.8623389087975178,1.0997049756693404
96.0,1.0568321052794265,1.1907664886811322,0.8265988140800455,1.0945509632180697
98.0,1.0511233073373463,1.1830521274327002,0.7898228449254269,1.0893924959841097
