pctl,beta_1,std_beta_1,beta_0,std_beta_0,rmse
2,1.2732639330796842,0.20910723032830386,0.008965581684433517,0.00841739281939215,0.44226001979768
4,1.1821116080797553,0.07143830626824006,0.009325656148455175,0.008874636649419418,0.4420463732505516
6,1.1728656791627738,0.14005770355658193,0.008540623006740342,0.009364142669742125,0.4418282986166681
8,1.1848885458375968,0.15383715326281008,0.008804172905493629,0.011509727961626982,0.44162996754520023
10,1.2344836178459895,0.09812443240381792,0.008718517633975421,0.008864368555379776,0.4414218007592046
12,1.251542391209855,0.4523670787612773,0.008422809231076113,0.01979844675236598,0.4412133890683768
14,1.3079479015628588,0.17087539305518668,0.008226246929000175,0.010378708720728207,0.44089088816714794
16,1.3001075378469888,0.1668466010513741,0.007905594266688857,0.010529121872561286,0.44075027544088113
18,1.301909485064975,0.18764604574346633,0.007998785158444533,0.011570900237780289,0.44057706720909123
20,1.2530032731475376,0.05724494683360065,0.009883857897960929,0.009360994597715092,0.4405164414863786
22,1.275363927970446,0.17862191824920576,0.00782460046951541,0.01025169577933889,0.44039538402841233
24,1.2997895761989386,0.1662367006589517,0.007852617871326517,0.010149465483064094,0.4402189884683483
26,1.2626718700637636,,0.009123302024868274,0.01012518649786016,0.44017220995809364
28,1.2466929276259178,0.05364886537974643,0.00888407787910946,0.010319204456930334,0.44017292289855503
30,1.2557168362526567,0.05255012071466754,0.008549275402558626,0.009927477130907556,0.44009976424626923
32,1.2841571054363483,0.09151591543943477,0.008080670916557686,0.009866468719016808,0.43994731491573086
34,1.2709528088821127,0.04602740854996912,0.008905037061755416,0.010200298830259386,0.4398643497846945
36,1.246241102467317,0.04345879908334582,0.00910014019005366,0.010282962846363389,0.43983417544061554
38,1.243378621582335,0.044026120029093084,0.00905411955882661,0.010305426764699267,0.43978486164429564
40,1.25579961918315,0.052334353960395506,0.008399020173809944,0.010078302013752967,0.43974678381666676
42,1.243472819668877,0.01664827674067327,0.007894585447531162,0.009825064846529858,0.43977367339936896
44,1.2555282546554125,,0.007862462813001295,0.009823195098760326,0.4396585343303631
46,1.2548050425582578,,0.008257201640509979,0.010048278823713048,0.4395718624936758
48,1.261948278205036,,0.008324415244061514,0.009846012785748563,0.4395087737808234
50,1.2549530273447396,,0.008279603948299585,0.006901393686683785,0.4394931363710047
52,1.2547142030935818,0.14297799275926995,0.0076823791392329425,0.0100244309836159,0.4394958566475964
54,1.2752297071308287,0.08126942227991288,0.007829024610927328,0.009563768563798947,0.4393819185135938
56,1.2675727898106202,0.08457549149379556,0.007986378409622985,0.009635756960799496,0.439322088491434
58,1.2665443172145003,,0.0074218233870983145,0.008625738662497615,0.43932526509675773
60,1.2394336659517167,0.050735827112593876,0.008046840358024804,0.009706681817483466,0.43939993741342637
62,1.2263395909734287,0.08557747762456965,0.007808147785392836,0.009324381106776846,0.4393581309734874
64,1.2123272920771877,0.08174173696061875,0.007980729560871227,0.009379478368183434,0.43936018206427313
66,1.210125339448245,0.0639045957759456,0.008256400731899413,0.009712666643798442,0.4393946856309869
68,1.2028828394909004,0.05986750813826152,0.008331570430642872,0.009759194116848424,0.4393883380041271
70,1.189183579354759,0.06991483562900128,0.00850738668524231,0.009798479334191921,0.43939393216871087
72,1.1878403632987815,0.056249418565540416,0.008204284536305012,0.009738515261463564,0.43934848923135705
74,1.2072234693351924,0.08219129305025398,0.007823015498127717,0.009743469869970312,0.43918980737334473
76,1.208738234024081,0.08390221728325227,0.00753597442306331,0.00966265491157437,0.43913879609423434
78,1.1942302579107251,0.058297168118532076,0.007715639454330886,0.009721468761658834,0.4391322003144326
80,1.2030148328895813,0.06010907329783938,0.007618675511986734,0.009773299541500679,0.4390334287287961
82,1.2008001196051745,0.05354912180851668,0.007555493168392305,0.009734659200860116,0.43899100416645587
84,1.1924841360351142,0.0982135022920075,0.007284382937697093,0.010017980785253709,0.438948988029263
86,1.190608572890685,0.10206612924160814,0.007132273177758887,0.009882100292059147,0.4389079381370603
88,1.1988639306778606,0.1015061682075158,0.007313329476770405,0.009887052670542618,0.43883050753214903
90,1.2101083668075787,0.09992788851132524,0.007579970580148534,0.009889250473046556,0.4387028799262268
92,1.2054661038557384,0.10035249515178299,0.007482287323716128,0.009943658588271415,0.43867068966415945
94,1.197398109130994,0.09783589956980612,0.007494510793156539,0.009861863585865181,0.43859078424976755
96,1.1907664886811322,0.09741547179540318,0.0076714933788089084,0.009886247452979708,0.43856294195515083
98,1.1830521274327002,0.09352781105891672,0.0076820368679279905,0.010005749377272659,0.4384427862942046
100,1.1575896771897551,0.08994092306319403,0.007549306813022797,0.00986365063616216,0.4384519773898942
