pctl,beta_1_re,se_re,beta_1_ols,se_ols,singular,boundary
2,1.2732639330796842,0.20910723032830386,1.2404512690372747,0.1837558402426753,False,True
4,1.1821116080797553,0.07143830626824006,1.1796962568901395,0.13993138792580329,True,True
6,1.1728656791627738,0.14005770355658193,1.1613314987619061,0.11913843574234491,False,True
8,1.1848885458375968,0.15383715326281008,1.1647285247957149,0.10862609021295401,False,True
10,1.2344836178459895,0.09812443240381792,1.2073314256298489,0.10182655982292568,False,True
12,1.251542391209855,0.4523670787612773,1.2145641665102112,0.09523189745037776,False,True
14,1.3079479015628588,0.17087539305518668,1.2720503615632408,0.0905816652908213,False,True
16,1.3001075378469888,0.1668466010513741,1.2645204430774413,0.08675205989573187,False,True
18,1.301909485064975,0.18764604574346633,1.2771639702792703,0.08394214142199531,False,True
20,1.2530032731475376,0.05724494683360065,1.2450662547634082,0.08143575247395891,False,True
22,1.275363927970446,0.17862191824920576,1.259578795500969,0.07944397304180088,False,True
24,1.2997895761989386,0.1662367006589517,1.2782563909013909,0.07763749920535383,False,True
26,1.2626718700637636,,1.2651037983196542,0.07606133967827551,False,True
28,1.2466929276259178,0.05364886537974643,1.247013898327332,0.07469437824818376,False,True
30,1.2557168362526567,0.05255012071466754,1.2578950450502226,0.07363460115531827,False,True
32,1.2841571054363483,0.09151591543943477,1.2653342209114915,0.07248239210119571,False,True
34,1.2709528088821127,0.04602740854996912,1.265563003708142,0.07156300452539152,False,True
36,1.246241102467317,0.04345879908334582,1.2536282743070357,0.07054838136080323,False,True
38,1.243378621582335,0.044026120029093084,1.2520042623605478,0.06978170870124613,False,True
40,1.25579961918315,0.052334353960395506,1.2480018659970766,0.06915431662126091,False,True
42,1.243472819668877,0.01664827674067327,1.24292667422928,0.06831222176386136,False,True
44,1.2555282546554125,,1.2546516674012307,0.06764221580066081,False,True
46,1.2548050425582578,,1.253763670168516,0.06717537487776225,False,True
48,1.261948278205036,,1.253738174559566,0.0666756707292392,False,True
50,1.2549530273447396,,1.243071851687049,0.0659986296945095,False,True
52,1.2547142030935818,0.14297799275926995,1.2431927305470347,0.06554593094514238,False,True
54,1.2752297071308287,0.08126942227991288,1.2464340807938674,0.06527911347229963,False,True
56,1.2675727898106202,0.08457549149379556,1.2464069907117061,0.06483490792061723,False,True
58,1.2665443172145003,,1.243828846283833,0.064496936483777,False,True
60,1.2394336659517167,0.050735827112593876,1.2285001167727376,0.0638935863860294,False,True
62,1.2263395909734287,0.08557747762456965,1.2127133482137407,0.06328457911678653,False,True
64,1.2123272920771877,0.08174173696061875,1.203328945157508,0.06279355389124651,False,True
66,1.210125339448245,0.0639045957759456,1.1979892771483107,0.062371061250769425,False,True
68,1.2028828394909004,0.05986750813826152,1.1892390178577648,0.061866386974181314,False,True
70,1.189183579354759,0.06991483562900128,1.1678905373689115,0.06111116244093391,False,True
72,1.1878403632987815,0.056249418565540416,1.1718697671717393,0.06074174550537836,True,True
74,1.2072234693351924,0.08219129305025398,1.1800575298933809,0.060218140236064914,False,True
76,1.208738234024081,0.08390221728325227,1.179473474671058,0.05974856633639972,False,True
78,1.1942302579107251,0.058297168118532076,1.1815322413446614,0.05928175265617135,True,True
80,1.2030148328895813,0.06010907329783938,1.1865327817059395,0.05884396230511073,False,True
82,1.2008001196051745,0.05354912180851668,1.1902791246242153,0.05846681264518194,False,True
84,1.1924841360351142,0.0982135022920075,1.1806907365083192,0.0581609028155327,False,True
86,1.190608572890685,0.10206612924160814,1.17695149526972,0.05774068465856669,False,True
88,1.1988639306778606,0.1015061682075158,1.1814979025583427,0.057366723476256334,False,True
90,1.2101083668075787,0.09992788851132524,1.1876464242505795,0.056688920308308494,False,True
92,1.2054661038557384,0.10035249515178299,1.1807579275488824,0.056203571374818725,False,True
94,1.197398109130994,0.09783589956980612,1.176254101637144,0.05552080741909903,False,True
96,1.1907664886811322,0.09741547179540318,1.1684557795253954,0.05497230802135347,False,True
98,1.1830521274327002,0.09352781105891672,1.1654632403427467,0.054027292612081605,False,True
100,1.1575896771897551,0.08994092306319403,1.1255281578993186,0.0524124359935498,False,True
