model,evalvar,q,level,beta_1_mean,beta_1_start,beta_1_end,se_end
M1  nur Verspätung,DW,0.1,-0.7008064774239704,1.0748984064540776,1.3188549667668055,0.955566675202237,0.03016261704016452
M1  nur Verspätung,DW,0.25,-0.6017748486752462,1.0717252129349726,1.3156623352637205,0.9280668931810886,0.02784084749845855
M1  nur Verspätung,DW,0.5,-0.20762428182761866,1.010782662519208,1.2438146282388571,0.7795426895799313,0.026269645965796465
M1  nur Verspätung,DW,0.75,0.3782444879889625,0.9058480589120862,1.0458674336429763,0.5964408002335938,0.037642954717101745
M1  nur Verspätung,DW,0.9,1.0918307922639543,0.8809723023138596,0.698657514330277,0.6110315412131205,0.061016078908441476
M1n te+te + log(NumOddsMvt),DW,0.1,-0.7008064774239704,0.7160535658416657,1.5517449629151814,0.6792944937288963,0.3805983726680475
M1n te+te + log(NumOddsMvt),DW,0.25,-0.6017748486752462,0.7989606836314621,1.606204102240883,0.6701535019545657,0.3606376951874354
M1n te+te + log(NumOddsMvt),DW,0.5,-0.20762428182761866,1.0246189694498342,1.8355538857403182,0.7453081188431523,0.23212504160754946
M1n te+te + log(NumOddsMvt),DW,0.75,0.3782444879889625,1.1113127212187548,2.0592940539873745,0.8687208822376551,0.10286239730605631
M1n te+te + log(NumOddsMvt),DW,0.9,1.0918307922639543,0.989480010979586,1.9256459120165357,0.6198627791572371,0.10569914179049793
M1n te+te + log(NumOddsMvt),NW,0.1,-1.0401110569658805,0.040450375833029996,2.3431645831016183,0.4225514658315645,0.4254490724849304
M1n te+te + log(NumOddsMvt),NW,0.25,-0.4256453157250373,0.44369348810686643,3.0702874567163003,0.2701752411944411,0.28677741454167344
M1n te+te + log(NumOddsMvt),NW,0.5,0.10288450757200218,1.2159206738731791,1.5964113565896598,0.9539723287577702,0.1407483107511896
M1n te+te + log(NumOddsMvt),NW,0.75,0.5720944127322534,1.1294273908191592,0.9176100942498296,1.031130252114983,0.1301209785426492
M1n te+te + log(NumOddsMvt),NW,0.9,0.8976688011592189,1.0305066185890472,1.1998879233338113,0.841916610892637,0.1283615741362046
M1t te+te + TsDur,DW,0.1,-0.7008064774239704,1.057658061338302,1.2487505681112145,1.3574459344675327,0.3804908787590107
M1t te+te + TsDur,DW,0.25,-0.6017748486752462,1.1240379287166191,1.3139108176587675,1.3311922011179094,0.3592058792654855
M1t te+te + TsDur,DW,0.5,-0.20762428182761866,1.339649995320442,1.502604621565369,1.3392603088311257,0.22682205523471496
M1t te+te + TsDur,DW,0.75,0.3782444879889625,1.469719566129748,1.567285466695351,1.3863570223565154,0.10281661343958765
M1t te+te + TsDur,DW,0.9,1.0918307922639543,1.3288227061771238,1.3403090164052627,1.1037366380881488,0.10485719628406233
M1t te+te + TsDur,TW,0.1,-0.7778559941506746,2.564174330493801,1.2329512368502875,2.1882561237123834,0.35735324700584814
M1t te+te + TsDur,TW,0.25,-0.6661304168841014,2.4380453707301326,1.4461076039738336,2.130019281366052,0.2825595906416409
M1t te+te + TsDur,TW,0.5,-0.40779783715715756,2.1003285337976605,1.7517821161342557,1.9278894959954191,0.18295653480920396
M1t te+te + TsDur,TW,0.75,0.5589785345002476,0.7383073955203224,0.9710039972482042,0.7160718976524216,0.12534597933116695
M1t te+te + TsDur,TW,0.9,1.3446821007203427,1.4120283109705725,2.039829468123666,1.2431327425116998,0.1358742398439571
