pctl,beta_1,se,B,half
1.0,1.1989137106260828,0.07224159702363459,1xBet,early
1.9898989898989898,1.1976157560868486,0.07128814896232705,1xBet,early
2.9797979797979797,1.1963178051009808,0.0703388796255056,1xBet,early
3.9696969696969697,1.1950198615099201,0.06939396203781475,1xBet,early
4.959595959595959,1.1937219302825341,0.0684535770665486,1xBet,early
5.94949494949495,1.1924240172976914,0.06751791320604907,1xBet,early
6.939393939393939,1.191126129133988,0.06658716651052646,1xBet,early
7.929292929292929,1.1898282728680143,0.06566154068873842,1xBet,early
8.919191919191919,1.1885304558826486,0.0647412473690547,1xBet,early
9.909090909090908,1.1872326856869355,0.06382650653717947,1xBet,early
10.898989898989898,1.1859349697490844,0.06291754714185437,1xBet,early
11.888888888888888,1.184637315344068,0.062014607856852005,1xBet,early
12.878787878787879,1.183339729417192,0.061117937981070486,1xBet,early
13.868686868686869,1.1820422184648358,0.060227798453050804,1xBet,early
14.85858585858586,1.180744788433382,0.059344462952160164,1xBet,early
15.848484848484848,1.179447444637098,0.058468219056287254,1xBet,early
16.838383838383837,1.1781501916954948,0.05759936942532177,1xBet,early
17.82828282828283,1.1768530334903875,0.056738232980936186,1xBet,early
18.818181818181817,1.1755559731425937,0.055885146056113215,1xBet,early
19.80808080808081,1.1742590130079036,0.05504046349219674,1xBet,early
20.7979797979798,1.1729621546916427,0.05420455966661073,1xBet,early
21.787878787878785,1.1716653990808619,0.05337782944032542,1xBet,early
22.77777777777778,1.1703687463928896,0.05256068902014031,1xBet,early
23.767676767676768,1.1690721962387285,0.051753576736367955,1xBet,early
24.757575757575758,1.1677757476995239,0.05095695374102939,1xBet,early
25.747474747474747,1.1664793994141291,0.05017130463475511,1xBet,early
26.737373737373737,1.1651831496756082,0.04939713803185947,1xBet,early
27.727272727272727,1.1638869965343777,0.048634987072267044,1xBet,early
28.71717171717172,1.1625909379055943,0.04788540988600602,1xBet,early
29.707070707070706,1.1612949716783332,0.04714899001088145,1xBet,early
30.696969696969695,1.159999095824095,0.04642633675689144,1xBet,early
31.686868686868685,1.1587033085022171,0.045718085502292206,1xBet,early
32.676767676767675,1.1574076081598328,0.04502489789642759,1xBet,early
33.666666666666664,1.1561119936241628,0.04434746193410172,1xBet,early
34.65656565656566,1.1548164641850676,0.04368649185605953,1xBet,early
35.64646464646465,1.1535210196660126,0.04304272782076568,1xBet,early
36.63636363636363,1.1522256604818164,0.04241693528486701,1xBet,early
37.62626262626262,1.1509303876818389,0.04180990402418645,1xBet,early
38.61616161616161,1.1496352029775456,0.04122244672446251,1xBet,early
39.60606060606061,1.14834010875371,0.040655397071848134,1xBet,early
40.5959595959596,1.1470451080628337,0.040109607277816754,1xBet,early
41.58585858585859,1.1457502046027126,0.03958594498182467,1xBet,early
42.57575757575757,1.1444554026774063,0.039085289487903165,1xBet,early
43.56565656565656,1.1431607071422039,0.03860852730815005,1xBet,early
44.55555555555556,1.1418661233335103,0.038156547006500376,1xBet,early
45.54545454545455,1.1405716569848736,0.0377302333596044,1xBet,early
46.535353535353536,1.1392773141306607,0.037330460877342646,1xBet,early
47.525252525252526,1.1379831009991503,0.03695808675248141,1xBet,early
48.51515151515151,1.1366890238970262,0.03661394333606513,1xBet,early
49.505050505050505,1.1353950890874467,0.03629883026107228,1xBet,early
50.494949494949495,1.1341013026640037,0.03601350636027072,1xBet,early
51.48484848484849,1.1328076704229941,0.035758681543735044,1xBet,early
52.474747474747474,1.131514197736474,0.03553500881585225,1xBet,early
53.46464646464646,1.1302208894285777,0.03534307661973833,1xBet,early
54.45454545454545,1.12892774965755,0.03518340169798778,1xBet,early
55.44444444444444,1.1276347818058414,0.03505642265211266,1xBet,early
56.43434343434344,1.1263419883805024,0.034962494368864165,1xBet,early
57.42424242424242,1.1250493709259257,0.034901883460305164,1xBet,early
58.414141414141405,1.1237569299507797,0.03487476483692077,1xBet,early
59.4040404040404,1.122464664870725,0.034881219500541544,1xBet,early
60.39393939393939,1.1211725739682241,0.03492123360805996,1xBet,early
61.38383838383839,1.1198806543704511,0.034994698819690896,1xBet,early
62.37373737373737,1.1185889020459752,0.03510141390874974,1xBet,early
63.36363636363637,1.1172973118205534,0.03524108757537168,1xBet,early
64.35353535353535,1.1160058774120167,0.03541334237579513,1xBet,early
65.34343434343434,1.1147145914838772,0.0356177196529418,1xBet,early
66.33333333333333,1.1134234457169379,0.035853685333787765,1xBet,early
67.32323232323232,1.11213243089785,0.03612063644474206,1xBet,early
68.31313131313131,1.1108415370232392,0.03641790818784538,1xBet,early
69.3030303030303,1.1095507534177218,0.03674478141766281,1xBet,early
70.2929292929293,1.108260068863873,0.03710049036063459,1xBet,early
71.28282828282828,1.1069694717419594,0.03748423042460684,1xBet,early
72.27272727272727,1.1056789501770568,0.03789516595550117,1xBet,early
73.26262626262626,1.1043884921910203,0.03833243780985175,1xBet,early
74.25252525252525,1.1030980858566513,0.038795170625595066,1xBet,early
75.24242424242425,1.1018077194513487,0.03928247968850958,1xBet,early
76.23232323232322,1.1005173816075031,0.03979347730765997,1xBet,early
77.22222222222221,1.0992270614569295,0.04032727862978795,1xBet,early
78.2121212121212,1.0979367487667036,0.040883006839558346,1xBet,early
79.2020202020202,1.0966464340638826,0.041459797709696364,1xBet,early
80.1919191919192,1.0953561087467691,0.04205680348211235,1xBet,early
81.18181818181817,1.094065765180559,0.04267319607784923,1xBet,early
82.17171717171718,1.0927753967754694,0.043308169649805654,1xBet,early
83.16161616161615,1.0914849980457015,0.04396094250733488,1xBet,early
84.15151515151514,1.090194564647887,0.044630758455614095,1xBet,early
85.14141414141415,1.0889040933979846,0.045316887604715916,1xBet,early
86.13131313131312,1.0876135822659108,0.046018626713202164,1xBet,early
87.12121212121212,1.086323030347527,0.04673529913844948,1xBet,early
88.1111111111111,1.0850324378139273,0.04746625447052849,1xBet,early
89.1010101010101,1.0837418058382942,0.048210867928122354,1xBet,early
90.0909090909091,1.0824511365009,0.04896853959363891,1xBet,early
91.08080808080807,1.0811604326730972,0.04973869356044651,1xBet,early
