B,n_ser_early,n_ser_late,median_delay_h,sd_logDelay,beta1_early_mean,beta1_late_mean,beta1_early_end,beta1_late_end,d_mean,d_end
Dafabet,1775,1774,5.966666666666667,1.1404681244452768,0.6362165849751222,0.6373092367048475,1.054195855258858,0.7952146461211793,0.0010926517297252802,-0.25898120913767864
Betfair,1768,1761,0.9666666666666667,0.9735066485648977,0.7897564588896847,0.4810002487540793,1.1137424441691852,0.9746325794409403,-0.3087562101356054,-0.13910986472824494
GGBET,5530,5519,0.8666666666666667,0.9580307890957672,1.0584124135831083,0.8504820396070261,0.9881718434025552,0.6245899854833488,-0.20793037397608227,-0.3635818579192064
BetVictor,2714,2713,1.7833333333333334,0.9349561820795399,1.3806968412644705,0.36963590477614494,1.1540441446454515,0.13881289201384983,-1.0110609364883256,-1.0152312526316016
Vulkan Bet,2235,2227,4.3,0.923442810741937,1.1197895887476057,0.45687929284772816,1.1137116305950663,0.5650050445868343,-0.6629102958998776,-0.548706586008232
Betway,3724,3716,0.9833333333333333,0.837170025719354,0.9966786758972873,1.0648322139119835,0.7407806397783853,1.03452537508169,0.06815353801469615,0.2937447353033048
Marathonbet,5471,5419,0.4166666666666667,0.7978429502536634,1.0426685314665793,0.6986827745835572,0.9677378629502127,0.3918422996278609,-0.34398575688302213,-0.5758955633223518
NordicBet,2218,2187,0.6,0.7816786406999577,0.802550051798395,1.1250558645955173,0.7177536038993366,0.7834434954334175,0.3225058127971223,0.06568989153408089
Betsson,2219,2201,0.5833333333333334,0.7703820415051965,0.6960500564333781,1.2950710736006419,0.6354835840938032,0.9006470100354209,0.5990210171672637,0.2651634259416177
Betsafe,2210,2195,0.5833333333333334,0.7693054098898332,0.9042590731929784,1.1184772550007194,0.7370972044380004,0.796774842086998,0.214218181807741,0.059677637648997583
VOBET,5455,5395,0.5333333333333333,0.763051853041979,1.233622851307729,0.9498721927144939,0.9171520861005724,0.47151597627100794,-0.2837506585932351,-0.4456361098295645
Suprabets,5319,5286,0.5666666666666667,0.7612986831659326,1.3599070303505472,0.8067294200975219,1.1600290199443442,0.36171812762696853,-0.5531776102530253,-0.7983108923173756
BetInAsia,3176,3168,0.9166666666666666,0.7603002666318257,0.5570323646032734,0.8185621646455955,0.6077650581011689,0.3957132768633055,0.26152980004232207,-0.2120517812378634
10x10bet,5324,5237,0.5333333333333333,0.7585399423077761,1.1385945906028312,0.8542469120795088,1.0798828629264174,0.622258066356205,-0.28434767852332243,-0.4576247965702125
Curebet,3464,3418,0.4666666666666667,0.7578473669377954,1.2904967383034185,0.8337440342890541,1.1048631747512572,0.6469337314924529,-0.4567527040143644,-0.45792944325880425
Lasbet,5358,5324,0.5333333333333333,0.7578238628425391,1.1536912369605365,0.9798003923949671,0.9242103621161712,0.6118668989634533,-0.17389084456556947,-0.312343463152718
Alphabet,5373,5359,0.5333333333333333,0.7573331708060245,1.2364785771928857,0.8487547338519796,0.9461225310616888,0.3553796959428448,-0.38772384334090604,-0.590742835118844
Pinnacle,4293,4283,1.0,0.7457997082033603,0.7250149816791813,0.9833395096789915,0.7010165268203292,0.4200210755004141,0.2583245279998102,-0.2809954513199151
10Bet,2667,2633,1.1666666666666667,0.6890621879203621,0.9867836318435015,1.1839779331647977,1.146081267504895,0.9962246110652158,0.19719430132129623,-0.14985665643967927
ComeOn,3751,3750,1.0833333333333333,0.6581457972261114,0.9184210411317381,1.0023269398225165,1.0205466396989025,0.9144328228857334,0.08390589869077847,-0.10611381681316912
888sport,2764,2693,0.6333333333333333,0.612393067010433,0.9350859867511558,0.9959952055424638,0.9494866149530431,1.1892914668110621,0.06090921879130795,0.23980485185801903
Interwetten,2765,2614,0.03333333333333333,0.5846762755892222,1.2542593818392624,1.2833020801167805,1.0141778871326366,1.1221680615601026,0.029042698277518042,0.10799017442746606
Betfred,2267,2178,0.15,0.49441829906786855,1.31699863509506,0.9645566169539477,1.0605700680444445,0.8796871867564434,-0.3524420181411123,-0.18088288128800112
1xBet,6342,6034,0.13333333333333333,0.4309259485375347,1.1347973626804257,0.6952416905772365,1.0708340424266207,0.6208654739345675,-0.43955567210318924,-0.44996856849205324
