model,q,level,level_h,beta_1_mean,beta_1_start,beta_1_end,se_mean
M0 gepoolt (raw LD),0.1,0.0,0.0,1.1049178066876586,1.4452891796739982,0.9466772558326516,0.03342065429951348
M0 gepoolt (raw LD),0.25,0.08004270767353643,0.08333333333333333,1.0751833219586338,1.3723656883175996,0.917076199482323,0.028699324603329454
M0 gepoolt (raw LD),0.5,0.4803664162812822,0.6166666666666667,0.9410512878197808,1.0380333879234067,0.7747118138754879,0.03093328462724673
M0 gepoolt (raw LD),0.75,1.168345626682785,2.216666666666667,0.8856699342369292,0.828416514568979,0.5982910887951692,0.04792708051480257
M0 gepoolt (raw LD),0.9,1.955388893009857,6.066666666666666,0.9985821636685439,1.046298776462319,0.5563453176230849,0.12233604296465309
"M1 FE + Exog:B, within (DW)",0.1,-0.7008064774239704,,1.0751054521182994,1.3137155815720207,0.9572906830451516,0.033926412724219486
"M1 FE + Exog:B, within (DW)",0.25,-0.6017748486752462,,1.0677424952788905,1.312556265049443,0.9269630432950323,0.030393111755089894
"M1 FE + Exog:B, within (DW)",0.5,-0.20762428182761866,,1.0100350903194921,1.2503764218946967,0.7835684759867527,0.028706997500278025
"M1 FE + Exog:B, within (DW)",0.75,0.3782444879889625,,0.9122481520207475,1.0641449805764738,0.6104268889305217,0.04639536799367395
"M1 FE + Exog:B, within (DW)",0.9,1.0918307922639543,,0.8684688147797667,0.7914748302150638,0.607163449539548,0.09218007200112838
"M2 FE ohne Exog:B, within (DW)",0.1,-0.7008064774239704,,1.0657385880975005,1.2938837585550331,0.9496008188044154,0.033780072918782496
"M2 FE ohne Exog:B, within (DW)",0.25,-0.6017748486752462,,1.0641362662674425,1.3038559528203315,0.9263717963741626,0.0302737327557273
"M2 FE ohne Exog:B, within (DW)",0.5,-0.20762428182761866,,1.0169872770481627,1.273420239654995,0.7942661762015275,0.02800254511932014
"M2 FE ohne Exog:B, within (DW)",0.75,0.3782444879889625,,0.9087789541574964,1.0952413238029037,0.6072314941969419,0.046276311153955765
"M2 FE ohne Exog:B, within (DW)",0.9,1.0918307922639543,,0.8372087131728543,0.7720323929360722,0.5834743745456522,0.09286502979067798
