B,n_Serien,Median_h,IQR_h,sd_logDelay,Q1,Q2,Q3,Q4,HHI,min_Q_Anteil
1xBet,12376,0.13333333333333333,0.5166666666666667,0.4309259485375347,0.45774078862314155,0.3223173884938591,0.17267291531997414,0.04726890756302521,0.3454654138021376,0.04726890756302521
GGBET,11049,0.8666666666666667,3.75,0.9580307890957672,0.3517965426735451,0.11964883699882342,0.1827314689112137,0.3458231514164178,0.2910610934182629,0.11964883699882342
Marathonbet,10890,0.4166666666666667,2.1166666666666667,0.7978429502536634,0.3312213039485767,0.21689623507805325,0.2115702479338843,0.24031221303948577,0.25926345852717003,0.2115702479338843
VOBET,10850,0.5333333333333333,1.85,0.763051853041979,0.287926267281106,0.23935483870967741,0.2567741935483871,0.2159447004608295,0.25275737433370854,0.2159447004608295
Alphabet,10732,0.5333333333333333,1.8833333333333333,0.7573331708060245,0.29509877003354457,0.23005963473723443,0.2584793142005218,0.21636228102869923,0.2536349121322544,0.21636228102869923
Lasbet,10682,0.5333333333333333,1.8333333333333333,0.7578238628425391,0.28674405542033327,0.23946826436996818,0.2595019659239843,0.21428571428571427,0.2528268406246156,0.21428571428571427
Suprabets,10605,0.5666666666666667,1.9166666666666667,0.7612986831659326,0.2760961810466761,0.23950966525223952,0.26016030174446014,0.22423385195662424,0.2515581839048726,0.22423385195662424
10x10bet,10561,0.5333333333333333,1.8166666666666667,0.7585399423077761,0.29485844143547013,0.2328377994508096,0.2594451283022441,0.21285863081147618,0.2537755126495542,0.21285863081147618
Pinnacle,8576,1.0,2.466666666666667,0.7457997082033603,0.24230410447761194,0.16452891791044777,0.30422108208955223,0.2889458955223881,0.2618212412024532,0.16452891791044777
ComeOn,7501,1.0833333333333333,1.9666666666666666,0.6581457972261114,0.10305292627649647,0.24183442207705638,0.3808825489934675,0.2742301026529796,0.28937745864431774,0.10305292627649647
Betway,7440,0.9833333333333333,2.5333333333333337,0.837170025719354,0.11881720430107527,0.2952956989247312,0.2793010752688172,0.30658602150537634,0.2733211570701815,0.11881720430107527
Curebet,6882,0.4666666666666667,1.5833333333333333,0.7578473669377954,0.29133972682359777,0.26402208660273174,0.24818366753850624,0.1964545190351642,0.2547760095219105,0.1964545190351642
BetInAsia,6344,0.9166666666666666,2.3833333333333333,0.7603002666318257,0.2380201765447667,0.18032786885245902,0.30028373266078184,0.28136822194199246,0.2585101411467618,0.18032786885245902
888sport,5457,0.6333333333333333,0.7333333333333334,0.612393067010433,0.11856331317573758,0.3749312809235844,0.39234011361553967,0.11416529228513836,0.3215952033606135,0.11416529228513836
BetVictor,5427,1.7833333333333334,4.5,0.9349561820795399,0.12566795651372767,0.20305878017320803,0.22756587433204348,0.4437073889810208,0.3056877776966297,0.12566795651372767
Interwetten,5379,0.03333333333333333,0.4,0.5846762755892222,0.5891429633760922,0.2018962632459565,0.12530210076222345,0.08365867261572783,0.410550922367496,0.08365867261572783
10Bet,5300,1.1666666666666667,2.0666666666666664,0.6890621879203621,0.09528301886792453,0.23226415094339622,0.3832075471698113,0.2892452830188679,0.2935363474546102,0.09528301886792453
Vulkan Bet,4462,4.3,6.762499999999999,0.923442810741937,0.10757507844016136,0.05647691618108472,0.14567458538771852,0.6902734199910354,0.5124605187367361,0.05647691618108472
Betfred,4445,0.15,0.3666666666666667,0.49441829906786855,0.35253093363329585,0.46366704161979755,0.12215973003374578,0.06164229471316086,0.35798795679224016,0.06164229471316086
Betsson,4420,0.5833333333333334,1.7541666666666667,0.7703820415051965,0.21018099547511312,0.3063348416289593,0.2658371040723982,0.21764705882352942,0.25605669417088106,0.21018099547511312
NordicBet,4405,0.6,1.7666666666666666,0.7816786406999577,0.21066969353007944,0.29761634506242907,0.27082860385925084,0.22088535754824062,0.25509568246794156,0.21066969353007944
Betsafe,4405,0.5833333333333334,1.75,0.7693054098898332,0.20817253121452894,0.3069239500567537,0.266061293984109,0.2188422247446084,0.25621864535837285,0.20817253121452894
Dafabet,3549,5.966666666666667,20.416666666666668,1.1404681244452768,0.04677373908143139,0.03860242321780783,0.1566638489715413,0.7579599887292195,0.6027248358349211,0.03860242321780783
Betfair,3529,0.9666666666666667,4.15,0.9735066485648977,0.05894020969113063,0.3598753187871918,0.21649192405780673,0.3646925474638708,0.31285360074855617,0.05894020969113063
