Xbin,Q1 (zeitgleich),Q2,Q3,Q4 (spät)
"(-0.001, 0.1]",0.0019244591610149712,0.001681251134487086,0.0012444240465376646,0.0008358878297586515
"(0.1, 0.2]",0.002679658600613515,0.002247300277521371,0.001589852776945956,0.0010950277877532103
"(0.2, 0.3]",0.002824068415970311,0.0025026293732798976,0.0019097024681998351,0.0012441276534688962
"(0.3, 0.4]",0.002925903951960031,0.0026575043037718165,0.001912515603033007,0.0011624314972043454
"(0.4, 0.5]",0.002757413747429169,0.0025770261339344803,0.0018919763386966017,0.0011988226417106761
"(0.5, 0.6]",0.002913676170729829,0.00253241057349452,0.0019619036858877195,0.0011952570134229998
"(0.6, 0.7]",0.003196833343186027,0.0027268777459397613,0.0021118150110624196,0.0014288181522212635
"(0.7, 0.8]",0.0032116321700511523,0.0027641470821698536,0.0021230603840120066,0.0015186056795397453
"(0.8, 0.9]",0.003019616195082189,0.0029085806803014662,0.0022649463093904814,0.0015165274533439463
"(0.9, 1.0]",0.002884344773435211,0.0028158239093141963,0.002345278604488763,0.0016709852235881088
