pctl_von,pctl_bis,diff,z,signifikant
2,4,-1.0110372485558505,-3.6796741527429875,True
4,6,-0.11331672465492137,-0.9206389110360637,False
6,8,0.03703863412277819,0.2896875501778367,False
8,10,-0.018904964334990337,-0.12152600895503844,False
10,12,-0.05469634321650929,-0.38642102565412334,False
12,14,0.020322280030261375,0.172370137766674,False
14,16,-0.02172928450304612,-0.2587210130780665,False
16,18,-0.0007921795447494162,-0.012234021910139456,False
18,20,-0.04638363209774843,-0.6503824137942186,False
20,22,-0.03703450899126337,-0.5690807059087531,False
22,24,-0.033352094207930616,-0.5737045990902455,False
24,26,-0.04096388023216724,-0.7511381780817269,False
26,28,-0.01224674380205748,-0.24462201261582614,False
28,30,-0.031331043512904166,-0.6868205598394123,False
30,32,-0.01493925686615305,-0.33880999696677083,False
32,34,-0.004229403528494657,-0.10012734949036173,False
34,36,-0.005359908864743357,-0.1294531605627996,False
36,38,-0.014844183582531922,-0.3659703409126306,False
38,40,-0.01214880246277028,-0.3113978974585698,False
40,42,-0.0007882790829110142,-0.02056479195641403,False
42,44,-0.006473593402354316,-0.1719270267437806,False
44,46,-0.01302443723089608,-0.34814283374094857,False
46,48,-0.013236304920286601,-0.3524323320590572,False
48,50,-0.014654591994825328,-0.40355743742690314,False
50,52,0.0009276106344902058,0.02666493049190154,False
52,54,-0.009234382154346799,-0.27928322019434,False
54,56,-0.006769826387117428,-0.1989597626097617,False
56,58,-0.003986107987741239,-0.10953073718248989,False
58,60,-0.00335144676667265,-0.10434498307526055,False
60,62,-0.012286002071560276,-0.40821637991768966,False
62,64,-0.0055745502065063235,-0.17143366311653804,False
64,66,0.002462473925506581,0.07596977481035992,False
66,68,-0.000213779490188859,-0.006558815643195308,False
68,70,-0.005466507177780633,-0.16806322279682248,False
70,72,-0.0027963346612509543,-0.08629433822614159,False
72,74,-0.001227804379375419,-0.03765757427417836,False
74,76,-0.00013211848919580937,-0.004041304354929276,False
76,78,0.0018154719647067719,0.056483054327445895,False
78,80,0.003252096967678808,0.10221034998258054,False
80,82,0.0030309248133379985,0.09452512117012553,False
82,84,-0.010992841691190636,-0.35169662264685025,False
84,86,-0.0008553066221705929,-0.027945999553857025,False
86,88,0.0037178039999115065,0.12065585256885455,False
88,90,0.0008480815883609161,0.027631104430180672,False
90,92,-0.0012901338517117278,-0.04385778239871969,False
92,94,-0.018620218339685746,-0.7510814132687362,False
94,96,-0.003772730045842776,-0.1538628527891392,False
96,98,-0.005708797942080013,-0.21156860916854536,False
98,100,-0.019801295949806397,-0.7605128231547015,False
