scheme,seed,se,mean_coef,n
parallel,42,0.0249222318925737,0.7389923627109258,1000
parallel,10000,0.0262387502506772,0.73983907326972,1000
parallel,20000,0.0242735660185361,0.7397843914898415,1000
parallel,30000,0.0242978542136195,0.7404603327468761,1000
parallel,40000,0.0257970186726787,0.7386733994503117,1000
serial,42,0.0257717515351368,0.7389490662531227,1000
serial,10000,0.0251688179921891,0.7398577222965897,1000
serial,20000,0.0249822851562162,0.7391704570148778,1000
serial,30000,0.0254040176486214,0.7401150370492898,1000
serial,40000,0.025696625375590823,0.7392607328563285,1000
