Bookies,n_groups,newly_in,newly_out,margin_pct,net,net_share_pct,in_share_pct
Pinnacle,8642.0,288.0,6.0,5.004960864292807,282.0,3.263,3.333
BetInAsia,6357.0,239.0,4.0,5.137591444656254,235.0,3.697,3.76
Betfred,4828.0,2.0,0.0,5.8080808080807955,2.0,0.041,0.041
BetVictor,5529.0,123.0,2.0,6.8627450980392135,121.0,2.188,2.225
10Bet,5551.0,366.0,34.0,6.944444444444442,332.0,5.981,6.593
10x10bet,11038.0,29.0,11.0,7.0221191925045945,18.0,0.163,0.263
1xBet,13131.0,353.0,63.0,7.159142726858181,290.0,2.209,2.688
NordicBet,4485.0,66.0,3.0,7.427055702917773,63.0,1.405,1.472
Betsafe,4481.0,54.0,1.0,7.427055702917773,53.0,1.183,1.205
Betsson,4496.0,73.0,0.0,7.427055702917773,73.0,1.624,1.624
Marathonbet,12065.0,147.0,5.0,7.648099027409372,142.0,1.177,1.218
Vulkan Bet,4465.0,88.0,3.0,7.7645004637965975,85.0,1.904,1.971
Betfair,3495.0,179.0,4.0,7.792207792207795,175.0,5.007,5.122
GGBET,11577.0,353.0,7.0,7.7952896928449755,346.0,2.989,3.049
888sport,5449.0,103.0,2.0,8.027210884353742,101.0,1.854,1.89
Suprabets,11123.0,29.0,4.0,8.108108108108091,25.0,0.225,0.261
Betway,8062.0,350.0,75.0,8.108108108108091,275.0,3.411,4.341
Curebet,7220.0,14.0,4.0,8.129998987546827,10.0,0.139,0.194
Lasbet,11207.0,20.0,0.0,8.13418856786059,20.0,0.178,0.178
Alphabet,11319.0,23.0,4.0,8.13418856786059,19.0,0.168,0.203
VOBET,11397.0,25.0,5.0,8.13418856786059,20.0,0.175,0.219
ComeOn,7968.0,353.0,26.0,8.138711960368017,327.0,4.104,4.43
Dafabet,3655.0,28.0,0.0,8.1903118705964,28.0,0.766,0.766
Interwetten,5615.0,61.0,15.0,10.144927536231885,46.0,0.819,1.086
