bookie,start_idx,start_value,gamma,std_gamma,J_stat,p_value
10Bet,0,0.01,0.05736621093750008,0.017750811945036284,10.322625711986746,0.6673632146150699
10Bet,1,0.9507143064099162,0.057342277685197306,0.017750908678453556,10.322622071798559,0.667363516280596
10Bet,2,0.7319939418114051,0.057367970030696595,0.017750804836154734,10.32262611271715,0.6673631814061941
10Bet,3,0.5986584841970366,0.05733824828272063,0.017750924966603063,10.322621791042327,0.667363539547105
10Bet,4,0.15601864044243652,0.057332850861314344,0.017750946785780965,10.323567163082487,0.6672851945439489
10Bet,5,0.15599452033620265,0.05732398734058674,0.017750982618446078,10.323567889000222,0.6672851343846606
10Bet,6,0.05808361216819946,0.05735047673140846,0.017750875537225704,10.322622938649884,0.6673634444438843
10Bet,7,0.8661761457749352,0.057322579373787576,0.017750988310818897,10.323568046722922,0.6672851213136402
10Bet,8,0.6011150117432088,0.05734972550849047,0.01775087857350137,10.322622842734283,0.6673634523924923
10Bet,9,0.7080725777960455,0.0573385798700516,0.017750923626244388,10.322621810531237,0.6673635379320422
10x10bet,0,0.01,0.03783867187500002,0.010168444396531954,14.547202370741255,0.33646564436521875
10x10bet,1,0.9507143064099162,0.0377999458912072,0.010168374381989326,14.547232216061248,0.3364636702917764
10x10bet,2,0.7319939418114051,0.03780196497229282,0.010168378041417368,14.531952313879382,0.3374752753831942
10x10bet,3,0.5986584841970366,0.03786741455673824,0.0101684961247037,14.547227269566992,0.3364639974696429
10x10bet,4,0.15601864044243652,0.037863849983350246,0.010168489720514413,14.54722200891166,0.336464345427403
10x10bet,5,0.15599452033620265,0.037857996323291315,0.01016847919685738,14.54721470380277,0.33646482861269206
10x10bet,6,0.05808361216819946,0.03782014575123892,0.010168410948029062,14.531973336019869,0.3374738823213299
10x10bet,7,0.8661761457749352,0.03781537691109489,0.010168402324503247,14.53196627674811,0.33747435011355775
10x10bet,8,0.6011150117432088,0.03786760412111864,0.010168496465130447,14.54722756654107,0.3364639778267669
10x10bet,9,0.7080725777960455,0.03784151793481616,0.01016844952746186,14.547203050506388,0.336465599403105
1xBet,0,0.01,0.02468730468750001,0.011689473778879333,12.680947996899071,0.47274713313091987
1xBet,1,0.9507143064099162,0.024712537159048413,0.011689462354218647,12.68094724997788,0.4727471921594495
1xBet,2,0.7319939418114051,0.024698764091912136,0.011689468582777777,12.680946633443678,0.47274724088361064
1xBet,3,0.5986584841970366,0.024688633502797402,0.011689473175661118,12.680947751391514,0.47274715253316735
1xBet,4,0.15601864044243652,0.024696920409390595,0.011689469417894163,12.680946737722145,0.47274723264257434
1xBet,5,0.15599452033620265,0.024693102324947463,0.01168947114845755,12.680947093984681,0.47274720448745566
1xBet,6,0.05808361216819946,0.024698864906699113,0.011689468537222655,12.680946629013869,0.4727472412336946
1xBet,7,0.8661761457749352,0.024679993294197358,0.011689477100879203,12.6809497580518,0.4727469939485701
1xBet,8,0.6011150117432088,0.02468977914901966,0.011689472655919566,12.680947558135301,0.4727471678060373
1xBet,9,0.7080725777960455,0.024717498155627557,0.011689460115298998,12.680948074791837,0.472747126975123
888sport,0,0.01,0.023087695312500003,0.014896324389333237,14.670307852925127,0.32838433253471355
888sport,1,0.9507143064099162,0.023106059768120836,0.014896308364267571,14.669518310271753,0.3284357702288808
888sport,2,0.7319939418114051,0.02312254666838269,0.014896293866476907,14.669519760095712,0.32843567577004856
888sport,3,0.5986584841970366,0.02311306258979837,0.014896302219124632,14.669518624919935,0.32843574972894257
888sport,4,0.15601864044243652,0.02309045406157332,0.014896321990169735,14.670307597162244,0.3283843491965157
888sport,5,0.15599452033620265,0.023086884332960314,0.014896325093928287,14.670307941243761,0.3283843267811519
888sport,6,0.05808361216819946,0.023087101391309102,0.014896324905401291,14.67030791702047,0.32838432835919007
888sport,7,0.8661761457749352,0.023116445960744157,0.014896299243384224,14.669518936285238,0.3284357294428906
888sport,8,0.6011150117432088,0.02307499799335872,0.014896335393256242,14.670309920360602,0.3283841978506049
888sport,9,0.7080725777960455,0.023117160780396096,0.014896298614068725,14.669519015352558,0.32843572429150186
Alphabet,0,0.01,0.03984375000000007,0.009978674401438447,9.457843293018998,0.737552944411105
Alphabet,1,0.9507143064099162,0.039828279544805736,0.009978657147712185,9.457849867633444,0.7375524255297942
Alphabet,2,0.7319939418114051,0.039874547916667294,0.009978708666128374,9.457864862577665,0.7375512420987025
Alphabet,3,0.5986584841970366,0.0398323107962216,0.009978661646342127,9.457847031157268,0.7375526493900239
Alphabet,4,0.15601864044243652,0.039810654844925665,0.009978637457079189,9.442240392726031,0.738783569241962
Alphabet,5,0.15599452033620265,0.03980450021352164,0.00997863057236999,9.442236890548754,0.7387838452870208
Alphabet,6,0.05808361216819946,0.03980315657291882,0.009978629068835376,9.442236370298687,0.738783886293636
Alphabet,7,0.8661761457749352,0.03988169128228717,0.009978716597814078,9.457876444873268,0.7375503279996984
Alphabet,8,0.6011150117432088,0.03983982930765767,0.009978670031391213,9.45784385649342,0.7375528999406229
Alphabet,9,0.7080725777960455,0.03985717375930392,0.009978689349951974,9.457847027778618,0.7375526496566737
BetInAsia,0,0.01,0.021215624999999995,0.014044882259407084,4.378528908700216,0.9864581921522017
BetInAsia,1,0.9507143064099162,0.021239621434033837,0.014044937710689872,4.372015967072631,0.9865522321678852
BetInAsia,2,0.7319939418114051,0.021248107836064664,0.014044957247420666,4.372026259918103,0.9865520839157077
BetInAsia,3,0.5986584841970366,0.021204436740065,0.014044856299519097,4.36560688325734,0.9866443204849162
