bookie,gamma_start0,gamma_min,gamma_max,gamma_range,gamma_std,gamma_median,n_distinct_4dp,max_abs_dev_from_start0
NordicBet,0.04267851562500009,0.042614446175521514,0.04270100449704614,8.655832152462684e-05,2.3310407392006447e-05,0.04266216801306571,2,6.406944947857235e-05
BetInAsia,0.021215624999999995,0.021165516278526215,0.021248107836064664,8.259155753844935e-05,2.632493904384303e-05,0.02123052722705748,1,5.010872147378012e-05
Lasbet,0.04139121093750005,0.041345034260928476,0.041425691552630574,8.065729170209784e-05,2.4852380736033252e-05,0.04138829904837413,2,4.617667657157154e-05
Pinnacle,0.013389453125000002,0.013310567592163588,0.013389453125000002,7.888553283641464e-05,2.9843771337061448e-05,0.013320538520053769,2,7.888553283641464e-05
Alphabet,0.03984375000000007,0.03980315657291882,0.03988169128228717,7.853470936834694e-05,2.7604239700079218e-05,0.039836070051939634,2,4.059342708124386e-05
Betsafe,0.036473437500000004,0.03644746663554507,0.03651627587616128,6.880924061621052e-05,2.1211039777845837e-05,0.03648482014246218,2,4.283837616127911e-05
Dafabet,0.07414174804687518,0.07407436205124357,0.07414232622682922,6.796417558564694e-05,2.7292943837784366e-05,0.07413161010287699,1,6.738599563160808e-05
10x10bet,0.03783867187500002,0.0377999458912072,0.03786760412111864,6.765822991144227e-05,2.6659792672158814e-05,0.03784009490490809,2,3.8725983792821383e-05
Betsson,0.039007031250000095,0.038969770135422355,0.039031851100199445,6.208096477709063e-05,1.9030332718305722e-05,0.03900719575976923,1,3.7261114577739896e-05
ComeOn,0.03715468750000005,0.037119274147562525,0.037177822188656055,5.85480410935299e-05,1.8482056523114748e-05,0.037151027698374146,2,3.541335243752164e-05
Suprabets,0.035527734375000036,0.03552062462106428,0.03557904269599725,5.841807493297407e-05,2.1018028110878877e-05,0.03554637323595192,2,5.130832099721483e-05
Curebet,0.035029296875000046,0.03499310744023978,0.03505095121147507,5.7843771235292774e-05,2.0282973528788627e-05,0.0350242945531731,2,3.6189434760268424e-05
BetVictor,0.013880468749999996,0.01386005470127075,0.013915163833534246,5.5109132263496396e-05,1.9071079175961232e-05,0.013879746033438466,1,3.4695083534250215e-05
Vulkan Bet,0.01831992187500002,0.01831992187500002,0.01837082207613295,5.090020113292931e-05,1.9153065620513832e-05,0.018339863096616563,2,5.090020113292931e-05
888sport,0.023087695312500003,0.02307499799335872,0.02312254666838269,4.75486750239687e-05,1.662030713885089e-05,0.023098256914847078,1,3.485135588268684e-05
Betfair,0.03290703125000003,0.03288529271101885,0.03293246730976358,4.71745987447314e-05,1.5144461708837745e-05,0.03290715762394994,1,2.5436059763551955e-05
Interwetten,0.04522851562500006,0.045188378255062764,0.045234221591532536,4.5843336469772455e-05,1.58104396708771e-05,0.045225136962657966,1,4.013736993729866e-05
10Bet,0.05736621093750008,0.057322579373787576,0.057367970030696595,4.5390656909019556e-05,1.558726509437159e-05,0.05734042877762445,2,4.36315637125026e-05
1xBet,0.02468730468750001,0.024679993294197358,0.024717498155627557,3.750486143019871e-05,1.1471572728544506e-05,0.024695011367169027,1,3.0193468127548417e-05
Betway,0.016001562499999997,0.016001433267446838,0.016038757891061076,3.732462361423841e-05,1.4619973807514917e-05,0.016017667526558733,1,3.7195391061079636e-05
Marathonbet,0.04240136718750005,0.04240090642314344,0.042431071052709865,3.016462956642596e-05,9.997496482918067e-06,0.042415398744688984,1,2.9703865209812497e-05
VOBET,0.03431796875000004,0.034288616753590365,0.03431796875000004,2.9351996409673897e-05,9.041696572131934e-06,0.03430293790091281,1,2.9351996409673897e-05
Betfred,0.032512207031250046,0.03250181612872076,0.03253022934664329,2.8413217922532152e-05,1.0616740929437505e-05,0.032524219317609696,1,1.8022315393245725e-05
GGBET,0.002930468750000005,0.002914115751214782,0.0029361964023342643,2.2080651119482392e-05,7.495097968751079e-06,0.0029251751849324456,1,1.6352998785223224e-05
