Delta,AvgChange,AvgNumChanges,NumMatches,Proportions,Z-statistic,p-value,Bookies
"[-1, -0.15]",-0.17951252459215286,10.930232558139535,43,0.3488372093023256,-2.0554804791094465,0.03983261924474135,10Bet
"[-0.15, -0.12]",-0.13384462503359398,10.072463768115941,69,0.4782608695652174,-0.3588702812826364,0.7196921328217356,10Bet
"[-0.12, -0.09]",-0.10266609329128029,9.427807486631016,187,0.40106951871657753,-2.7528880938285267,0.0059072084561035965,10Bet
"[-0.09, -0.06]",-0.07261178088838295,8.284507042253521,355,0.476056338028169,-0.9020294820492136,0.36704120671329354,10Bet
"[-0.06, -0.03]",-0.043711949762862905,7.668310727496918,811,0.5092478421701603,0.5264864652599236,0.5985502535248934,10Bet
"[-0.03, 0]",-0.015324078528406901,6.629910406616127,1451,0.5031013094417643,0.23619323390906113,0.81328272956808,10Bet
"[0, 0.03]",0.0156582872508488,7.008637236084453,1042,0.4990403071017274,-0.06192819777717965,0.9506200120098127,10Bet
"[0.03, 0.06]",0.0435837563885658,7.884057971014493,621,0.5104669887278583,0.5213660870373178,0.6021117712856665,10Bet
"[0.06, 0.09]",0.07262984130132769,9.221498371335505,307,0.5537459283387622,1.8912977817546544,0.05858460465747495,10Bet
"[0.09, 0.12]",0.10326120804308056,9.284722222222221,144,0.5347222222222222,0.8324444441914695,0.4051581243382145,10Bet
"[0.12, 0.15]",0.13130408920803413,11.147540983606557,61,0.5901639344262295,1.420093893609386,0.15558034779219776,10Bet
"[0.15, 1]",0.19511394014552727,11.236842105263158,38,0.6842105263157895,2.4105803110241806,0.01592716431309249,10Bet
"[-1, -0.15]",-0.18587788110562406,12.764044943820224,89,0.3258426966292135,-3.485767449593228,0.000490727405014546,10x10bet
"[-0.15, -0.12]",-0.13233637196861323,11.313725490196079,153,0.41830065359477125,-2.041958054571448,0.04115569226154303,10x10bet
"[-0.12, -0.09]",-0.1022162042861835,10.558528428093645,299,0.44481605351170567,-1.9169562963614006,0.05524348408880253,10x10bet
"[-0.09, -0.06]",-0.07317335420919584,8.90014471780029,691,0.44283646888567296,-3.022947209162987,0.0025032590764366702,10x10bet
"[-0.06, -0.03]",-0.04346683556708916,8.17680744452398,1397,0.46241947029348607,-2.816214855449949,0.0048593157297236456,10x10bet
"[-0.03, 0]",-0.014900193424461616,6.648614609571789,2382,0.49580184718723763,-0.40971630291342426,0.6820140694236367,10x10bet
"[0, 0.03]",0.015034936678661756,6.598992638512205,2581,0.5273149941882991,2.7790092480446833,0.005452497274821333,10x10bet
"[0.03, 0.06]",0.043367837030975034,8.058333333333334,1440,0.5513888888888889,3.9195445629550605,8.871645703800723e-05,10x10bet
"[0.06, 0.09]",0.07304388345771602,9.368656716417911,670,0.5507462686567164,2.638733587303587,0.008321634880779749,10x10bet
