bookie,slope,se_slope_cl,ci_lo,ci_hi,se_interaktion_cl,t_vs_ref
BetInAsia,0.7709082309675126,0.12463029696131595,0.5266328489233334,1.0151836130116918,0.15036990220818267,-1.5404584345572485
BetVictor,0.8052312244215818,0.1508314101398755,0.5096016605474258,1.1008607882957377,0.15915457073546346,-1.2397733209562656
Betfair,0.8062927413136101,0.1644099244621279,0.48404928936783936,1.1285361932593807,0.1735503806843739,-1.1308190338744468
Pinnacle,0.8134532067657716,0.11390307221332754,0.5902031852276496,1.0367032283038935,0.14038746086708886,-1.3469408677524843
888sport,0.905842163509865,0.1164441179812085,0.6776116922666964,1.1340726347530337,0.14161222127326262,-0.6828835163257884
Vulkan Bet,0.9264526450466803,0.17197819277888188,0.5893753872000719,1.2635299028932887,0.18687072080687828,-0.4072022077745151
VOBET,0.9286309576407921,0.08483013528750363,0.762363892477285,1.0948980228042993,0.11837350447868879,-0.6244290714580599
Marathonbet,0.930430102549288,0.07327094812106286,0.7868190442320049,1.0740411608665712,0.11825023262824573,-0.6098652913866832
Alphabet,0.9386141366534027,0.0852365818937034,0.771550436141744,1.1056778371650613,0.11929125157709027,-0.5359376955898394
Lasbet,0.9430388981732829,0.08518638175936163,0.7760735899249341,1.1100042064216318,0.11863828641312837,-0.5015911705530857
GGBET,0.9482784422161665,0.08639067933906659,0.778952710711596,1.117604173720737,0.12270726266719825,-0.4422588503068004
ComeOn,0.9675977886203597,0.104784432692646,0.7622203005427736,1.172975276697946,0.08266157565105706,-0.42279651981022404
10x10bet,0.9678455736689249,0.08478090250129328,0.8016750047663901,1.1340161425714597,0.11909882704097702,-0.2913650983883498
1xBet,0.9776390693387391,0.06933628025944497,0.841739960030227,1.1135381786472514,0.1178256163434018,-0.21139499679190013
Betsson,0.9804579404724625,0.1416687035770331,0.7027872814614776,1.2581285994834475,0.16095961356981953,-0.13723240361540887
NordicBet,0.9820257813164339,0.1426624594961279,0.7024073607040232,1.2616442019288447,0.16143685028449845,-0.1271149293055351
Suprabets,0.9883028788913104,0.0858638798059692,0.8200096744716108,1.15659608331101,0.11950296029270152,-0.11919316644087952
10Bet,1.0025468151276562,0.12634195784139754,0.7549165777585171,1.2501770524967954,,
Betsafe,1.0029830056678328,0.1431876003008578,0.7223353090781515,1.2836307022575142,0.1619299479191282,0.002693699008626081
Betway,1.03897307667776,0.10361500524159725,0.8358876664042294,1.2420584869512907,0.1341648125395934,0.2715038381569244
Interwetten,1.0402711562245153,0.10512020504004221,0.8342355543460325,1.246306758102998,0.13404790083765047,0.2814243331012559
Curebet,1.0613166019808231,0.10654297573547042,0.8524923695393011,1.270140834422345,0.11313426790035529,0.5194693698369913
Betfred,1.0719395077808107,0.108109927179612,0.8600440505087712,1.2838349650528502,0.14088257561745757,0.4925569563803152
Dafabet,1.0828440785552789,0.18953266353172915,0.7113600580330897,1.454328099077468,0.20309919647073674,0.3953598282167118
