bookie,gamma_V1_voll,gamma_V3_voll,gamma_V1_sauber_eigen,n_V1_sauber_eigen,gamma_V3_sauber_eigen,n_V3_sauber_eigen,gamma_V1_schnitt,gamma_V3_schnitt,gamma_V2_schnitt,n_schnitt,se_V1_schnitt,se_V3_schnitt
10Bet,0.0083261718749999,0.0051999999999999,0.005694140624999993,3752,0.006834374999999986,3692,0.0053437499999999995,0.002828906249999986,0.005599999999999978,3671,0.0031145988921542286,0.0031130950008897503
10x10bet,0.0060937499999999,0.0056999999999999,0.0042249999999999805,8814,0.003867187499999979,8783,0.0042249999999999805,0.003867187499999979,0.00397499999999998,8694,0.0016698739977590949,0.0016555922924881966
1xBet,0.0043124999999999,0.0037734374999999,0.0031499999999999853,9837,0.0028437499999999847,9784,0.002898437499999986,0.0028437499999999847,0.0025437499999999822,9780,0.0020163889145759276,0.001988111584685028
888sport,0.0039187499999999,0.0035218749999999,0.003351562499999984,2871,0.0014062499999999865,2810,0.003324999999999984,0.0009999999999999896,0.0026718749999999868,2799,0.00301276613932112,0.003090753755989926
Alphabet,0.0064187499999999,0.0054999999999999,0.004846874999999984,9122,0.00405781249999998,9102,0.004743749999999984,0.004287499999999981,0.004847656249999986,9002,0.001628627765970012,0.001612373665472887
BetInAsia,0.0017718749999999,-0.0003125,-0.00043750000000002717,4887,-0.0008750000000000283,4811,0.0001968749999999732,-0.000750000000000028,-0.0006875000000000278,4778,0.0024531141790729988,0.0023273902959310257
BetVictor,0.0025812499999999,0.0024749999999999,0.002742187499999978,4105,0.0024749999999999824,4103,0.0026249999999999806,0.002570312499999983,0.002034374999999978,3992,0.0021547993325372796,0.002050995977502046
Betfair,0.0055054687499999,0.0065343749999999,0.008978124999999991,1592,0.007261718749999993,1570,0.009485156249999994,0.008043749999999999,0.005140624999999989,1529,0.003899270415744966,0.003794017079325585
Betfred,0.0053437499999999,0.0055343749999999,0.006520312499999979,3125,0.0028124999999999843,3121,0.006328124999999985,0.0028124999999999843,0.002474999999999985,3103,0.003757142683188821,0.0037739447428324848
Betsafe,0.0059148437499999,0.0046093749999999,0.00489999999999998,3204,0.0039046874999999785,3183,0.0019874999999999936,0.004374999999999981,0.004773437499999981,3142,0.002720106906897985,0.0026650965986365857
Betsson,0.0064687499999999,0.0042593749999999,0.0051562499999999855,3213,0.0030999999999999656,3195,0.004726562499999977,0.003468749999999972,0.003412499999999972,3151,0.0027096555740683767,0.002643796880022244
Betway,0.0043874999999999,0.0034453124999999,0.0039999999999999715,6268,0.0019031249999999775,6296,0.001968749999999978,0.00309374999999997,0.0013781249999999762,6180,0.0022581249213839906,0.0021992987042542544
ComeOn,0.0062156249999999,0.0041656249999999,0.006834374999999986,5470,0.005999999999999978,5397,0.00674999999999998,0.005512499999999978,0.004384374999999973,5371,0.0025250513131603977,0.002554382538106467
Curebet,0.0062648437499999,0.0053187499999999,0.004258593749999985,5754,0.004528124999999982,5749,0.004515624999999983,0.0046921874999999846,0.00433281249999998,5676,0.002077885625631007,0.002042770727709575
Dafabet,0.012403125,0.0034781249999999,0.006290624999999983,2053,0.0011812499999999757,2505,0.0030937499999999837,0.001499999999999978,0.003412499999999984,1862,0.0034028359210750273,0.003180561591766323
GGBET,0.0013781249999999,0.0002624999999999,0.0014437499999999765,9624,6.562499999997285e-05,9549,0.0013781249999999762,0.0004593749999999739,0.0009843749999999753,9473,0.0017411780432883368,0.0017069376730119157
Interwetten,0.0077874999999999,0.0069874999999999,0.0014437499999999765,3800,0.0010499999999999754,3781,0.0014437499999999765,0.0005906249999999742,0.0004593749999999739,3749,0.0023079255773581966,0.0023783214867912385
Lasbet,0.0037609374999999,0.0063828124999999,0.0039843749999999775,9017,0.0042249999999999805,8999,0.003984374999999976,0.0043874999999999765,0.00422343749999998,8892,0.001642398616532873,0.0016386972114083881
Marathonbet,0.0067289062499999,0.0048632812499999,0.003907812499999989,9599,0.003681249999999985,9596,0.003907812499999989,0.003799999999999985,0.005233593749999986,9472,0.002077037848831027,0.0020124353258746414
NordicBet,0.0069187499999999,0.0049687499999999,0.004199999999999975,3197,0.0028999999999999647,3182,0.0015812499999999876,0.0032812499999999717,0.0037453124999999787,3134,0.002731870612162911,0.0026328203799224834
Pinnacle,0.0019999999999999,-6.56250000000275e-05,0.0016874999999999785,6760,0.0003124999999999748,6652,0.001874999999999979,0.00018749999999997447,-0.0002500000000000267,6633,0.00199318824186563,0.0018703545972389986
Suprabets,0.0057937499999999,0.0053039062499999,0.004064062499999977,8972,0.004007812499999981,8936,0.0042968749999999795,0.004148437499999981,0.003796874999999981,8841,0.001651845952212232,0.0016445734784268742
VOBET,0.0057031249999999,0.0055523437499999,0.0030937499999999793,9225,0.0036281249999999717,9215,0.0033062499999999793,0.0038093749999999764,0.003953124999999976,9104,0.0016402458470889277,0.0016097143482994949
Vulkan Bet,0.0034999999999999,0.0018749999999999,-0.0003093749999999989,1904,0.006268749999999993,1638,0.004781249999999985,0.0055499999999999924,0.008343749999999994,1617,0.0027789841841446617,0.002455286140908727
