Gruppe,n,gamma,se,t,modus
V1 | n_fill = 0,138432,0.003562499999999983,0.00047923225634875327,7.433765054010541,CUE
V1 | n_fill = 1,24408,0.0066234375,0.001245579037947754,5.3175569740744315,CUE
V1 | n_fill = 2,10738,0.012988421630859375,0.00015991869664583078,81.21890625224773,CUE
V1 | n_fill = 3,4597,-2.6020852139652106e-17,0.0,,1-Schritt
V1 | n_fill = 4,2233,-2.6020852139652106e-17,0.0,,1-Schritt
V1 | n_fill = 5,2631,-2.6020852139652106e-17,0.0,,1-Schritt
"V2 | dieselben, n_fill = 0",138432,0.0028828124999999813,0.0004360394091805277,6.6113576876406785,CUE
"V2 | dieselben, n_fill = 1",24408,0.002034374999999978,0.0009396427236548952,2.165051618860987,CUE
"V2 | dieselben, n_fill = 2",10738,0.0022999999999999843,0.0012741514948672312,1.8051228674653388,CUE
"V2 | dieselben, n_fill = 3",4597,-0.001125000000000029,0.0017173621094751011,-0.6550744271072085,CUE
"V2 | dieselben, n_fill = 4",2233,0.004331249999999988,0.0020414367220702003,2.121667526195821,CUE
"V2 | dieselben, n_fill = 5",2631,0.005140624999999984,0.002117056043172756,2.4281950478249565,CUE
