bookie,V1_sauber,V1_ffill,V2_sauber,V2_ffill
10Bet,0.005860937499999998,0.013956250000000002,0.0037156249999999898,0.0019031249999999775
10x10bet,0.0043874999999999765,0.008392187499999995,0.003904687499999978,0.0019140624999999813
1xBet,0.003410937499999985,0.0060039062499999945,0.002890624999999983,0.005078124999999979
888sport,0.0006343750000000049,0.005718750000000001,0.0025703124999999867,-0.0019031250000000322
Alphabet,0.005158593749999984,0.003997656249999997,0.004770312499999985,-0.000375000000000027
BetInAsia,6.562499999997285e-05,0.008135156249999992,-0.00018750000000000255,0.0003937499999999737
BetVictor,0.0024468749999999916,0.003196874999999986,0.001968749999999978,0.002749999999999979
Betfair,0.004710937499999989,0.005709374999999987,0.00399999999999999,0.005778124999999987
Betfred,0.00418359374999999,0.006649999999999993,0.002324999999999986,0.0010624999999999767
Betsafe,0.003971874999999975,0.007171874999999997,0.004626562499999981,0.0028218749999999793
Betsson,0.004640624999999977,0.004972656249999991,0.0032953124999999727,0.00032812499999997357
Betway,0.004499999999999978,0.005307812499999986,0.001640624999999977,0.004492968749999987
ComeOn,0.006808593749999982,0.008268749999999998,0.005439062499999974,0.0016156249999999869
Curebet,0.0054179687499999836,0.008020312499999993,0.004384374999999982,0.005174999999999987
Dafabet,0.009221484374999988,0.017370703124999956,0.002296874999999982,0.00018749999999997447
GGBET,0.001640624999999977,-2.6020852139652106e-17,0.0007874999999999747,0.00041250000000001247
Interwetten,0.0013124999999999762,0.021097265625000014,0.0004593749999999739,0.004549999999999995
Lasbet,0.004809374999999974,0.011673828124999995,0.00414062499999998,0.0031640624999999803
Marathonbet,0.006175781249999986,0.00892265625,0.004733593749999986,0.001499999999999978
NordicBet,0.0034593749999999772,0.011233203124999997,0.0037499999999999773,0.0010499999999999754
Pinnacle,0.0013749999999999776,0.005737499999999979,-0.0001875000000000265,0.0031218749999999745
Suprabets,0.004303124999999977,0.007987109374999996,0.0033468749999999814,0.004790624999999986
VOBET,0.003593749999999979,0.00864609375000001,0.003726562499999979,0.0007218749999999746
Vulkan Bet,7.187499999999447e-05,0.0027343749999999755,0.005893749999999986,0.001124999999999977
