bookie,gamma_V1_matchweit,gamma_V2_serieneigen,gamma_V3_start_eigen,se_V3,p_V3,se_V1,se_V2,p_V1,p_V2
10Bet,0.0083261718749999,0.0031992187499999,0.00519999999999999,0.0027233256431003754,0.7323346571887939,0.002732346471874,0.0024371932298434,0.7708418204768204,0.758358991145754
10x10bet,0.0060937499999999,0.0038249999999999,0.005699999999999978,0.0015705289015436055,0.5753273321309758,0.0015817514138178,0.0014129749234069,0.3498502151270685,0.0250649281398119
1xBet,0.0043124999999999,0.0029812499999999,0.0037734374999999856,0.0018103504941940811,0.8442672848368511,0.0018401839927488,0.0016478438388205,0.4370963195939664,0.3327734447107074
888sport,0.0039187499999999,-0.0001687499999999,0.003521874999999986,0.002263696923049207,0.42577480068570084,0.0023072955100839,0.0018610017772347,0.3901673397389705,0.183251114311896
Alphabet,0.0064187499999999,0.0037406249999999,0.005499999999999979,0.0015295345313717725,0.9096040085020902,0.0015439217407219,0.0013708698071004,0.7102142807004135,0.0625609477090774
BetInAsia,0.0017718749999999,-0.0009375,-0.00031250000000002684,0.002083890778778131,0.8793134163961914,0.0022035901050708,0.0019824335693115,0.9714713459523698,0.4136812619710571
BetVictor,0.0025812499999999,0.0020999999999999,0.0024749999999999755,0.0018166263602747347,0.3524144213760443,0.0020980421316246,0.001660829526113,0.2867938290408778,0.1416180077507373
Betfair,0.0055054687499999,0.0044093749999999,0.00653437499999999,0.0027927188541629158,0.11700297878992337,0.0031099651011471,0.002323082600124,0.3119233599392281,0.2269809351979849
Betfred,0.0053437499999999,0.0027171874999999,0.0055343749999999855,0.0028016278675087325,0.6960741779871532,0.0028137672196576,0.0026251172853675,0.654182594655989,0.5255121119666584
Betsafe,0.0059148437499999,0.0038296874999999,0.004609374999999978,0.002468303235001847,0.5746991067494955,0.0027081315141729,0.0020456291076278,0.3971000899766056,0.0779717078947283
Betsson,0.0064687499999999,0.0019031249999999,0.004259374999999977,0.002460830798283463,0.7309126610049295,0.0027251297840629,0.0020225554871812,0.3429578017362254,0.0910144139970444
Betway,0.0043874999999999,0.0034312499999999,0.00344531249999998,0.001977705972146766,0.5370973445199279,0.0020960730105311,0.0018189640830745,0.1824550794495747,0.0877858130156047
ComeOn,0.0062156249999999,0.0030078124999999,0.004165624999999988,0.002247341581093939,0.8937844348850358,0.0022294438602909,0.0019294929465409,0.5613976261663068,0.9464245648223516
Curebet,0.0062648437499999,0.0043968749999999,0.005318749999999987,0.0019113379398801567,0.38129673808103826,0.0019331971868503,0.0017307804872794,0.5567820153442843,0.6218909899405924
Dafabet,0.012403125,0.0016999999999999,0.003478124999999975,0.0026204774919760354,0.36520448767184943,0.003787964344452,0.0020650765523829,0.5646950410614348,0.5744195022237562
GGBET,0.0013781249999999,0.0001968749999999,0.00026249999999997337,0.0015732249500831367,0.7838272890419077,0.0016006063648724,0.0014918934806294,0.7079213655004972,0.6351277921242131
Interwetten,0.0077874999999999,0.0032031249999999,0.00698749999999999,0.00236597545112905,0.1077242758728902,0.0023675452318873,0.0017991359741742,0.0191744773157467,0.1692195064335268
Lasbet,0.0037609374999999,0.0040640624999999,0.006382812499999984,0.0015311092514700266,0.9573598909944797,0.0015537578564404,0.0013926696968304,0.6687995521635581,0.1689342791256455
Marathonbet,0.0067289062499999,0.0039374999999999,0.0048632812499999865,0.0018153429863460764,0.3094391945281935,0.0018743512006196,0.0016811865564093,0.3932315050444461,0.4270864924169921
NordicBet,0.0069187499999999,0.0028640624999999,0.004968749999999985,0.002457333374955966,0.8121540182880262,0.0027525987862787,0.0020471954833972,0.4792728219220248,0.0926582681193279
Pinnacle,0.0019999999999999,0.0003281249999999,-6.56250000000275e-05,0.001665068814526564,0.3968895779832381,0.0017665597113843,0.00159364958881,0.8126150491470996,0.0316443820492587
Suprabets,0.0057937499999999,0.0038671874999999,0.005303906249999984,0.0015339705013196854,0.7428239362408218,0.0015381635244717,0.0014045765717751,0.5504862812605538,0.0850984925265325
VOBET,0.0057031249999999,0.0034124999999999,0.005552343749999984,0.0015085448457177319,0.8222057004220418,0.0015395005250065,0.0013825021420774,0.5291549453874432,0.0823634763074404
Vulkan Bet,0.0034999999999999,0.0020843749999999,0.001874999999999979,0.00231537508195363,0.6074690523734259,0.0024143811504417,0.0012820486837073,0.6974977196093044,0.8772283352698597
