bookie,gamma_matchweit,gamma_serieneigen,se_matchweit,se_serieneigen,J_matchweit,J_serieneigen,p_matchweit,p_serieneigen,delta
10Bet,0.008326171874999998,0.0031992187499999877,0.002732346471874033,0.002437193229843432,9.027785200164818,9.19114256308565,0.7708418204768204,0.758358991145754,-0.00512695312500001
10x10bet,0.006093749999999985,0.003824999999999977,0.00158175141381784,0.0014129749234069167,14.34726738268954,24.72697864243089,0.34985021512706854,0.02506492813981193,-0.0022687500000000077
1xBet,0.004312499999999988,0.0029812499999999856,0.0018401839927488317,0.001647843838820507,13.139482563109054,14.60321491138273,0.4370963195939664,0.3327734447107074,-0.0013312500000000026
888sport,0.00391874999999999,-0.0001687499999999915,0.0023072955100839595,0.0018610017772347112,13.770992156760338,17.362662903897462,0.39016733973897055,0.18325111431189603,-0.004087499999999982
Alphabet,0.0064187499999999835,0.0037406249999999827,0.0015439217407219534,0.0013708698071004995,9.7998429210369,21.560269745362937,0.7102142807004135,0.06256094770907743,-0.002678125000000001
BetInAsia,0.0017718749999999775,-0.0009375000000000285,0.002203590105070896,0.001982433569311577,5.161181330880475,13.450030415882608,0.9714713459523698,0.4136812619710571,-0.002709375000000006
BetVictor,0.0025812499999999915,0.002099999999999978,0.002098042131624697,0.0016608295261130363,15.336927816984373,18.437072689013693,0.28679382904087786,0.1416180077507373,-0.00048125000000001335
Betfair,0.005505468749999987,0.00440937499999999,0.003109965101147124,0.0023230826001240192,14.92713966841166,16.42417678739046,0.3119233599392281,0.22698093519798493,-0.0010960937499999972
Betfred,0.005343749999999989,0.0027171874999999774,0.0028137672196576814,0.002625117285367557,10.481296311349622,12.026010974071754,0.654182594655989,0.5255121119666584,-0.0026265625000000117
Betsafe,0.00591484374999998,0.0038296874999999824,0.002708131514172911,0.002045629107627891,13.67532305002704,20.752434355139872,0.3971000899766056,0.07797170789472832,-0.0020851562499999976
Betsson,0.006468749999999985,0.0019031249999999775,0.002725129784062927,0.0020225554871812256,14.44962852816321,20.171552504664962,0.3429578017362254,0.09101441399704449,-0.004565625000000007
Betway,0.004387499999999981,0.003431249999999966,0.002096073010531183,0.001818964083074567,17.381281720322026,20.308265264719356,0.18245507944957476,0.08778581301560479,-0.0009562500000000148
ComeOn,0.00621562499999999,0.003007812499999986,0.00222944386029092,0.0019294929465409887,11.591420934273646,5.992525514365948,0.5613976261663068,0.9464245648223515,-0.003207812500000004
Curebet,0.006264843749999987,0.004396874999999984,0.0019331971868503798,0.0017307804872794836,11.646979857933692,10.867805935331756,0.5567820153442843,0.6218909899405924,-0.0018679687500000024
Dafabet,0.012403125000000008,0.0016999999999999828,0.003787964344452046,0.0020650765523829214,11.551777943541243,11.435074519834263,0.5646950410614348,0.5744195022237562,-0.010703125000000025
GGBET,0.0013781249999999762,0.0001968749999999732,0.001600606364872458,0.0014918934806294676,9.828172017880089,10.709635590326844,0.7079213655004972,0.6351277921242131,-0.001181250000000003
Interwetten,0.0077874999999999915,0.003203124999999978,0.002367545231887339,0.0017991359741742882,25.609194468568045,17.70065932842868,0.019174477315746702,0.16921950643352682,-0.004584375000000014
Lasbet,0.0037609374999999917,0.004064062499999977,0.0015537578564404487,0.0013926696968304196,10.30528849915,17.707756816515133,0.6687995521635581,0.16893427912564551,0.0003031249999999857
Marathonbet,0.006728906249999989,0.003937499999999984,0.0018743512006196845,0.0016811865564093904,13.728595850874044,13.271226203622652,0.39323150504444615,0.4270864924169921,-0.002791406250000005
NordicBet,0.006918749999999984,0.002864062499999977,0.002752598786278709,0.002047195483397269,12.598596727009115,20.10354585238828,0.4792728219220248,0.09265826811932795,-0.004054687500000007
Pinnacle,0.0019999999999999792,0.00032812499999997357,0.0017665597113843748,0.001593649588810051,8.456883372252221,23.944504691650405,0.8126150491470996,0.031644382049258755,-0.0016718750000000056
Suprabets,0.005793749999999981,0.0038671874999999813,0.0015381635244717622,0.0014045765717751232,11.722902574040043,20.425416581109097,0.5504862812605538,0.08509849252653255,-0.0019265624999999999
VOBET,0.0057031249999999825,0.003412499999999972,0.0015395005250065563,0.0013825021420774135,11.981579177596728,20.547990484293603,0.5291549453874432,0.08236347630744047,-0.0022906250000000105
Vulkan Bet,0.0034999999999999745,0.0020843749999999855,0.0024143811504417994,0.0012820486837073705,9.956375881646784,7.454647425825025,0.6974977196093044,0.8772283352698597,-0.001415624999999989
