Variante,Stuetzstelle,Anteil_hinter_letztem_Preis,Staleness_Median_h,Staleness_p90_h
V1 matchweit,OddsMvt26,0.01463239767098288,4.373666666666944,13.431133333333177
V1 matchweit,OddsMvt31,0.02696184930911619,4.894666666666389,15.500033333333526
V1 matchweit,OddsMvt36,0.05224537238202833,4.016,16.229866666666688
V1 matchweit,OddsMvt41,0.11091618145476666,2.6173333333336113,15.594666666666944
V1 matchweit,OddsMvt46,0.2442915182063092,2.194666666666111,13.504933333333613
V2 serieneigen,OddsMvt26,0.0,,
V2 serieneigen,OddsMvt31,0.0,,
V2 serieneigen,OddsMvt36,0.0,,
V2 serieneigen,OddsMvt41,0.0,,
V2 serieneigen,OddsMvt46,0.0,,
V3 Start eigen / Ende matchweit,OddsMvt26,0.01736986182323803,4.318666666666528,13.583266666666667
V3 Start eigen / Ende matchweit,OddsMvt31,0.03129616755018684,4.658833333333472,15.181266666666863
V3 Start eigen / Ende matchweit,OddsMvt36,0.06066416094551143,3.628,15.704666666666666
V3 Start eigen / Ende matchweit,OddsMvt41,0.12367471973581298,2.510166666666528,15.101699999999544
V3 Start eigen / Ende matchweit,OddsMvt46,0.2604827496306596,2.1346666666666665,13.092866666666946
