gruppe,n,gamma,se_gamma,j_stat,p_value,spanne_startwerte,p0_mittel,sekunden
Gesamt,183210,0.004812499999999987,0.0004341270502864851,58.473342827969105,9.83382231880362e-08,5.8593750000819275e-05,0.5082703741781345,11.24276065826416
Favoriten,94789,0.007403906249999993,0.0006048944980153686,53.62300627816853,7.038093007122761e-07,5.9326171874474025e-05,0.6445291757730764,4.991697549819946
Longshots,88421,0.0009843749999999879,0.0006155685162050334,55.97477424726888,2.723145334579107e-07,2.9785156250366107e-05,0.3621983376214006,5.342982053756714
D1,18321,0.0007500000000000241,0.0013415003159268787,25.80279855302723,0.01806720826503571,1.1718749999872075e-05,0.20886195979241362,1.0312347412109375
D2,18321,0.001968749999999978,0.0012044524558543703,54.242621410345016,5.485260272244827e-07,2.050781250086879e-05,0.31579936105285245,0.7862811088562012
D3,18321,0.0013124999999999773,0.001199496259570921,76.65256897410737,4.68083827487423e-11,5.859375000082903e-05,0.3838234656122201,0.7826664447784424
D4,18322,-0.0005906250000000288,0.0012938299425741422,26.617923243397133,0.014027789683833879,4.101562500087596e-05,0.4377378676035467,0.7443985939025879
D5,18320,0.009755859375000432,0.0014410533356842823,34.66820395746877,0.0009518914129969182,7.324218749495473e-06,0.48817651322411454,1.1042535305023193
D6,18322,0.005589062499999988,0.001440423221168819,44.307186181748015,2.7291255479991634e-05,4.003906249951637e-05,0.531554226792363,1.0547468662261963
D7,18320,0.0071992187500003555,0.0012330018826236318,21.071363302417495,0.07152908554586206,4.453124999991703e-05,0.5792750729650273,0.948868989944458
D8,18321,0.0063476562499999965,0.001263401752814998,38.3473721965975,0.0002539704921613337,6.557254739192331e-16,0.6317576821250687,1.1333160400390625
D9,18321,0.005962890625000072,0.0012124748448795492,24.55308719119762,0.026407423090293605,4.506835937461741e-05,0.7003748617520249,1.049130916595459
D10,18321,0.006720703125000102,0.00146477075390977,58.138497784787575,1.127829681372835e-07,5.903320312549646e-05,0.8053480886201209,1.0890276432037354
