dezil,n,p_opening,bias_opening,se_bias_opening,bias_closing,se_bias_closing,delta_bias,se_delta_bias,t_delta_bias,delta_abs_bias,se_delta,t_delta
1,18800,0.19209535475109152,-0.038531524963857464,0.008431305430469351,-0.0425050093283653,0.008350869826655467,-0.003973484364507836,0.0008065396452526243,-4.926582825650512,-0.0007409066547889768,0.000811298246830391,-0.9132358632396623
2,18283,0.29595869870149333,-0.01739391174092883,0.010894300561672017,-0.017693757276592875,0.010847541072879652,-0.00029984553566403795,0.0010509933006615667,-0.2852972854111389,-0.004081023610863013,0.0010481139211915786,-3.8936832422027026
3,18352,0.36718782292433283,-0.01643586128527448,0.01126615969265854,-0.018421158521918994,0.011248784221606458,-0.0019852972366445247,0.0011015708363774736,-1.8022420084878008,-0.003355638227089956,0.0011041609970109116,-3.039084188061385
4,18359,0.42579621885357344,-0.009161325885546839,0.011649253795221855,-0.008963051279778297,0.011616206836554678,0.00019827460576856144,0.0011531627666588973,0.17193982627710921,-0.0046454063601922635,0.0011498344134012128,-4.040065513825718
5,18761,0.4859853717602262,0.002474731645775616,0.0115482225600016,0.0033419480227440145,0.011427538143517688,0.0008672163769683972,0.0012483132134034052,0.6947105643494838,-0.009140278714201222,0.0012345224961872088,-7.403898059720046
6,18099,0.5369488766627966,0.0035782242820070454,0.011940019385929099,0.002079472462227521,0.011935649923586311,-0.0014987518197795155,0.0012090129017932045,-1.239649153087259,-0.0045691940869453775,0.0012081617861103902,-3.781938925295464
7,18537,0.5932842154817464,0.002712979317843516,0.011689543806807791,0.002760772260659772,0.01164988331384789,4.779294281625935e-05,0.00114548133180411,0.04172302200768861,-0.004615732627612301,0.0011421894122174484,-4.041127135517138
8,19033,0.6522189981389722,0.028440908339249886,0.010790162242879096,0.028284472988233243,0.010731581419136358,-0.00015643535101662775,0.0010154040409810063,-0.15406217102060357,-0.005617172247127115,0.0010123077939545497,-5.548877802455518
9,18044,0.725090873876346,0.024521185533984264,0.010360769453525724,0.02676069123545841,0.010309463700842347,0.0022395057014741363,0.0010452386344947818,2.142578381210149,-0.0032962496922301025,0.0010465355932449175,-3.1496775776251034
10,18147,0.8256347769461412,0.03423186767831458,0.008281963387070209,0.0364568366565335,0.008202656203272913,0.0022249689782189224,0.0008061857738379561,2.759871298183119,-0.0018763991381666053,0.0008071687826326179,-2.324667626573272
