subset,rhat,ess_bulk,ess_tail,div,draws
amat,1.0,7714.0,3399.0,0,20000
fav,1.0,1866.0,851.0,0,20000
pro,1.0,2626.0,1061.0,0,20000
quantile1,1.0,8594.0,4240.0,0,20000
quantile10,1.0,8997.0,6589.0,3,20000
quantile2,1.0,10392.0,5345.0,0,20000
quantile3,1.0,6000.0,4129.0,12,20000
quantile4,1.0,10735.0,5269.0,0,20000
quantile5,1.0,4982.0,4268.0,17,20000
quantile6,1.0,4914.0,2292.0,8,20000
quantile7,1.0,5411.0,4168.0,2,20000
quantile8,1.0,6096.0,4526.0,1,20000
quantile9,1.0,4096.0,2825.0,0,20000
tot,1.0,5998.0,3765.0,0,20000
udd,1.0,10104.0,4995.0,0,20000
