bookie,median,p_lt_0005,p_lt_001,gmm
1xBet,0.0028541415405476714,0.0006,0.00455,0.0028749999999999
888sport,0.007272071775557247,0.0,0.0,0.0043749999999999
Betsafe,0.012053774185102763,0.0,0.0,0.0018749999999999
Betsson,0.01264479980633202,0.0,0.0,0.0008078124999999
Betway,0.00785879889595318,0.0,0.0,0.0021968749999999
Interwetten,0.01724115112066716,0.0,0.0,0.0059941406249999
Marathonbet,0.0015328878030335885,0.0662,0.22555,0.0040203124999999
NordicBet,0.011874979848080303,0.0,0.0,0.0011156249999999
10Bet,0.01567330749195435,0.0,0.0,0.0087578124999999
10x10bet,0.005111503880034195,0.0,0.0,0.0036054687499999
Alphabet,0.002198126359941462,0.00955,0.05105,0.0029093749999999
ComeOn,0.014778258639538105,0.0,0.0,0.0043062499999999
Curebet,0.00477425611468181,0.0,0.0,0.0050515624999999
Lasbet,0.0029022103845778987,0.00055,0.00685,0.0047468749999999
Suprabets,0.007350898719351772,0.0,0.0,0.0059624999999999
VOBET,0.0037573473468651385,0.0,0.0003,0.0039374999999999
BetVictor,0.00010648276756641572,0.9608,0.999,0.0003937499999999
Betfair,0.01593513103898086,0.0,0.0,0.0076570312499999
Pinnacle,0.001444595688369073,0.0988,0.28255,-0.000375
GGBET,0.008752233871968818,0.0,0.0,0.0025124999999999
BetInAsia,0.006877571689185916,0.0,0.0,0.0016757812499999
Dafabet,0.005567605050086387,0.0,0.00035,0.0052421874999999
Betfred,0.00616365605545259,0.0,0.0,0.0022281249999999
Vulkan Bet,0.004737232986727466,0.0,0.0007,0.0014999999999999
