bookie,gamma,se,n,lo,hi,spec
GGBET,0.0013781249999999762,0.001600606364872458,11585,-0.0017590634751500417,0.004515313475149994,V1|A  (publizierte Fassung)
BetInAsia,0.0017718749999999775,0.002203590105070896,6369,-0.0025471616059389787,0.006090911605938934,V1|A  (publizierte Fassung)
Pinnacle,0.0019999999999999792,0.0017665597113843748,8653,-0.0014624570343133953,0.005462457034313354,V1|A  (publizierte Fassung)
BetVictor,0.0025812499999999915,0.002098042131624697,5544,-0.0015309125779844144,0.0066934125779843975,V1|A  (publizierte Fassung)
Vulkan Bet,0.0034999999999999745,0.0024143811504417994,4463,-0.001232187054865952,0.008232187054865902,V1|A  (publizierte Fassung)
Lasbet,0.0037609374999999917,0.0015537578564404487,11210,0.0007155721013767124,0.0068063028986232715,V1|A  (publizierte Fassung)
888sport,0.00391874999999999,0.0023072955100839595,5451,-0.0006035491997645704,0.008441049199764551,V1|A  (publizierte Fassung)
1xBet,0.004312499999999988,0.0018401839927488317,13105,0.0007057393742122783,0.007919260625787699,V1|A  (publizierte Fassung)
Betway,0.004387499999999981,0.002096073010531183,8062,0.00027919689935886234,0.0084958031006411,V1|A  (publizierte Fassung)
Betfred,0.005343749999999989,0.0028137672196576814,4829,-0.00017123375052906665,0.010858733750529044,V1|A  (publizierte Fassung)
Betfair,0.005505468749999987,0.003109965101147124,3520,-0.0005900628482483758,0.01160100034824835,V1|A  (publizierte Fassung)
VOBET,0.0057031249999999825,0.0015395005250065563,11395,0.002685703970987132,0.008720546029012833,V1|A  (publizierte Fassung)
Suprabets,0.005793749999999981,0.0015381635244717622,11124,0.0027789494920353276,0.008808550507964634,V1|A  (publizierte Fassung)
Betsafe,0.00591484374999998,0.002708131514172911,4485,0.000606905982221074,0.011222781517778887,V1|A  (publizierte Fassung)
10x10bet,0.006093749999999985,0.00158175141381784,11036,0.0029935172289170184,0.00919398277108295,V1|A  (publizierte Fassung)
ComeOn,0.00621562499999999,0.00222944386029092,7957,0.0018459150338297871,0.010585334966170194,V1|A  (publizierte Fassung)
Curebet,0.006264843749999987,0.0019331971868503798,7219,0.002475777263773242,0.010053910236226732,V1|A  (publizierte Fassung)
Alphabet,0.0064187499999999835,0.0015439217407219534,11320,0.003392663388184955,0.009444836611815012,V1|A  (publizierte Fassung)
Betsson,0.006468749999999985,0.002725129784062927,4502,0.0011274956232366481,0.011810004376763321,V1|A  (publizierte Fassung)
Marathonbet,0.006728906249999989,0.0018743512006196845,12078,0.0030551778967854077,0.010402634603214571,V1|A  (publizierte Fassung)
NordicBet,0.006918749999999984,0.002752598786278709,4487,0.0015236563788937141,0.012313843621106255,V1|A  (publizierte Fassung)
Interwetten,0.0077874999999999915,0.002367545231887339,5620,0.003147111345500807,0.012427888654499175,V1|A  (publizierte Fassung)
10Bet,0.008326171874999998,0.002732346471874033,5540,0.0029707727901268936,0.013681570959873102,V1|A  (publizierte Fassung)
Dafabet,0.012403125000000008,0.003787964344452046,3656,0.004978714884873998,0.019827535115126017,V1|A  (publizierte Fassung)
