bookie,V1 matchweit | A,V1 matchweit | B,V2 serieneigen | A,V2 serieneigen | B
10Bet,0.008326171874999998,0.005378906249999987,0.0031992187499999877,0.008757812499999993
10x10bet,0.006093749999999985,0.0033312499999999775,0.003824999999999977,0.0036054687499999863
1xBet,0.004312499999999988,0.0019249999999999849,0.0029812499999999856,0.0028749999999999926
888sport,0.00391874999999999,0.004162499999999987,-0.0001687499999999915,0.004374999999999995
Alphabet,0.0064187499999999835,0.0033515624999999674,0.0037406249999999827,0.0029093749999999827
BetInAsia,0.0017718749999999775,0.0006187499999999907,-0.0009375000000000285,0.0016757812499999926
BetVictor,0.0025812499999999915,-0.00019687500000002784,0.002099999999999978,0.0003937499999999737
Betfair,0.005505468749999987,0.0033468749999999814,0.00440937499999999,0.007657031249999991
Betfred,0.005343749999999989,0.003699999999999985,0.0027171874999999774,0.0022281249999999845
Betsafe,0.00591484374999998,-0.00039375000000002835,0.0038296874999999824,0.0018749999999999843
Betsson,0.006468749999999985,0.0008124999999999761,0.0019031249999999775,0.00080781249999999
Betway,0.004387499999999981,0.0011499999999999896,0.003431249999999966,0.00219687499999999
ComeOn,0.00621562499999999,0.003134374999999989,0.003007812499999986,0.004306249999999992
Curebet,0.006264843749999987,0.0019031249999999775,0.004396874999999984,0.00505156249999998
Dafabet,0.012403125000000008,0.011528125,0.0016999999999999828,0.005242187499999991
GGBET,0.0013781249999999762,0.0025999999999999856,0.0001968749999999732,0.0025124999999999887
Interwetten,0.0077874999999999915,0.007120312499999988,0.003203124999999978,0.0059941406249999895
Lasbet,0.0037609374999999917,0.001968749999999978,0.004064062499999977,0.004746874999999982
Marathonbet,0.006728906249999989,0.00396562499999998,0.003937499999999984,0.004020312499999991
NordicBet,0.006918749999999984,0.00024999999999997463,0.002864062499999977,0.0011156249999999873
Pinnacle,0.0019999999999999792,-0.0016875000000000306,0.00032812499999997357,-0.000375000000000027
Suprabets,0.005793749999999981,0.0048562499999999864,0.0038671874999999813,0.005962499999999992
VOBET,0.0057031249999999825,0.00446249999999997,0.003412499999999972,0.003937499999999982
Vulkan Bet,0.0034999999999999745,0.005337499999999979,0.0020843749999999855,0.001499999999999978
