b,n,ybar,pbar,sample
0,8848,0.10194394213381555,0.14712531323090364,Closing
1,8419,0.1800688917923744,0.22317396126716113,Closing
2,8785,0.23938531587933978,0.270203043172599,Closing
3,8751,0.3057936235858759,0.31028113291957155,Closing
4,8470,0.3655253837072019,0.348115367947046,Closing
5,8609,0.37077477058891856,0.37999692553040654,Closing
6,8562,0.3820369072646578,0.4095678222476738,Closing
7,8626,0.41571991653141666,0.4364750681214493,Closing
8,8633,0.4420247886018765,0.46445867198116736,Closing
9,8720,0.5162844036697247,0.4951055538276632,Closing
10,8582,0.535889070146819,0.526225821370518,Closing
11,8596,0.5663099115867846,0.5544662541886732,Closing
12,9359,0.575381985254835,0.5833513613838858,Closing
13,8142,0.6148366494718742,0.6123817605508458,Closing
14,8676,0.6687413554633471,0.6407624264138959,Closing
15,8362,0.7033006457785219,0.6706157157435044,Closing
16,8650,0.7190751445086705,0.7065083958642183,Closing
17,8614,0.765033666124913,0.7467787431975845,Closing
18,8625,0.832231884057971,0.795644285212333,Closing
19,8634,0.9157980078758396,0.8683019396612703,Closing
