b,n,ybar,pbar,sample
0,8751,0.10695920466232431,0.15437219455073037,Opening
1,8549,0.20072523102117207,0.23192199287595955,Opening
2,8631,0.25802340400880547,0.2767021009285008,Opening
3,8607,0.2961542930173115,0.31593089175681177,Opening
4,8953,0.32938679772143414,0.35252334506535776,Opening
5,8338,0.37431038618373713,0.3837337001667644,Opening
6,8612,0.39677194612169064,0.41166336351320987,Opening
7,8683,0.4386732696072786,0.4400398794722487,Opening
8,8586,0.4716981132075472,0.472036934431047,Opening
9,9019,0.5098126178068522,0.4988965276357586,Opening
10,8612,0.5149790989317232,0.5207259370069199,Opening
11,8357,0.5641976785927965,0.5522943185306345,Opening
12,8625,0.5837681159420289,0.5794148953377782,Opening
13,8733,0.607236917439597,0.6050039890995206,Opening
14,8447,0.6577483130105363,0.6332505895573983,Opening
15,8646,0.7006708304418228,0.6656080935612472,Opening
16,8614,0.7203389830508474,0.7021846809908003,Opening
17,8722,0.7678284797064894,0.7400300503910736,Opening
18,8572,0.8129958002799813,0.7856725713945577,Opening
19,8606,0.9006507088078085,0.8602434082186474,Opening
