Bookies,n_series,n_obs,opn_hrs_med,opn_hrs_mean,opn_hrs_q25,opn_hrs_q75,cls_hrs_med,ts_dur_med,margin_opn_med,rmse_panel,rmse_series,rmse_publiziert,obs_per_series,rmse_gap
Betfair,3548,19811,36.025,35.79813979706877,20.925,43.958333333333336,3.35,26.65,0.07803468208092479,0.4583204779612772,0.45678449818289885,0.459519061775779,5.583709131905299,0.0015359797783783269
Betfred,4872,50141,35.666666666666664,35.39333264915162,20.216666666666665,44.93333333333333,1.1833333333333333,27.1,0.057110742386126345,0.45739748147538134,0.4577589504784665,0.458053790753761,10.291666666666666,-0.0003614690030851464
888sport,5467,32177,34.416666666666664,35.193793061398694,19.25,45.233333333333334,2.35,23.8,0.0702614379084967,0.46160529381650267,0.4590500118271853,0.462078647425237,5.885677702579111,0.0025552819893173706
Betsafe,4499,40986,25.2,30.80490849818478,17.533333333333335,41.30833333333334,0.9166666666666666,22.216666666666665,0.0714285714285714,0.4660774895104438,0.4610175603816629,0.467001230089708,9.11002444987775,0.005059929128780893
Betsson,4517,41062,25.15,30.68154748727031,17.516666666666666,41.28333333333333,0.9,22.2,0.0714285714285714,0.466213236370539,0.4612010279591229,0.466986789476982,9.090546823112685,0.005012208411416141
NordicBet,4508,40778,24.983333333333334,30.63878660159716,17.483333333333334,41.15,0.9166666666666666,22.0,0.0714285714285714,0.4668228930728241,0.461723700181408,0.467581642786867,9.045696539485359,0.005099192891416082
BetVictor,5618,44791,23.033333333333335,29.532125904829716,16.883333333333333,40.22916666666667,0.7333333333333333,20.716666666666665,0.061728395061728225,0.4621940198546001,0.460180525889069,0.46316184574353,7.972766108935565,0.0020134939655311324
10Bet,5572,47888,21.8,29.66160863843025,16.616666666666667,40.35,1.0833333333333333,19.15,0.06408916753744354,0.45063290016210017,0.4476985953943845,0.451975427976853,8.594400574300073,0.0029343047677156675
Vulkan Bet,4470,27497,21.708333333333332,27.62793437733035,15.466666666666667,36.079166666666666,3.3666666666666667,18.033333333333335,0.07526881720430101,0.4517441219697539,0.4490536638716191,0.451947286321451,6.151454138702461,0.0026904580981347848
Betway,8192,82904,21.116666666666667,28.856783040364583,16.583333333333332,39.8,0.5333333333333333,19.383333333333333,0.07994389901823284,0.46258126025825586,0.45910547302317795,0.464077064788558,10.1201171875,0.0034757872350779095
ComeOn,7995,69958,20.7,29.317965395038566,16.3,40.233333333333334,1.0166666666666666,18.416666666666668,0.0817805383022776,0.4541036851123833,0.4497462940028245,0.45615568515075,8.750218886804253,0.004357391109558795
Pinnacle,8657,87028,20.633333333333333,27.815900427399793,16.133333333333333,38.266666666666666,0.65,19.083333333333332,0.04896065024576424,0.4710169940574889,0.46459631301660237,0.47189855986154,10.052905163451543,0.0064206810408865556
BetInAsia,6373,61974,20.266666666666666,26.8625608033893,16.083333333333332,36.983333333333334,0.7333333333333333,18.466666666666665,0.0510924740675347,0.47073904535206623,0.46338060010076704,0.471611777118566,9.724462576494586,0.007358445251299195
Interwetten,5705,43139,19.766666666666666,26.71078586035641,16.25,37.21666666666667,1.0333333333333334,17.733333333333334,0.08333333333333326,0.45741629687251867,0.45146269178050735,0.459858113698809,7.561612620508326,0.005953605092011316
Curebet,7299,65699,19.3,26.432120838471022,15.975,36.86666666666667,0.75,17.8,0.0812074457204639,0.4622009038930232,0.45277605661293613,0.462608146252367,9.0010960405535,0.009424847280087079
GGBET,11602,107540,19.266666666666666,25.607411078549678,15.8,33.4,0.4166666666666667,17.9,0.07764500463796598,0.4544169507341121,0.4464701836720675,0.455573539356435,9.26909153594208,0.007946767062044613
1xBet,13152,129147,19.116666666666667,26.62119576236821,16.05,37.266666666666666,0.9833333333333333,17.366666666666667,0.07117127365108256,0.46000634955073305,0.4474321308550823,0.461661106669706,9.819571167883211,0.01257421869565073
10x10bet,11132,96986,19.0,26.00232662594323,15.816666666666666,35.733333333333334,0.7,17.583333333333332,0.07022119192504594,0.46321576866533537,0.4533814035714937,0.464172080955981,8.712360761767876,0.009834365093841668
Lasbet,11320,100995,18.95,26.029627502944642,15.816666666666666,35.68333333333333,0.7166666666666667,17.583333333333332,0.08127461510920164,0.4634891109022461,0.45362464987296475,0.464688920179741,8.921819787985866,0.009864461029281346
Suprabets,11225,99710,18.933333333333334,26.032194506310322,15.75,35.71666666666667,0.6833333333333333,17.583333333333332,0.08108108108108092,0.46333005728641785,0.4542698723144996,0.464308609461813,8.882850779510022,0.00906018497191824
VOBET,11490,102375,18.90833333333333,25.962911227154045,15.766666666666667,35.5,0.6666666666666666,17.583333333333332,0.08127461510920164,0.4629975537732495,0.45312231753148463,0.463970348387773,8.909921671018276,0.009875236241764895
Alphabet,11421,103243,18.883333333333333,25.879124711788226,15.75,35.45,0.6833333333333333,17.533333333333335,0.08127461510920164,0.46346578982538883,0.4538813910075471,0.464319271583618,9.03975133525961,0.009584398817841733
Marathonbet,12101,130432,18.216666666666665,25.561638156626177,15.566666666666666,35.03333333333333,0.7666666666666667,16.733333333333334,0.07391778483713418,0.4604191154868889,0.4488418759512264,0.462090388634513,10.778613337740683,0.011577239535662531
Dafabet,3680,28154,16.566666666666666,19.57839221014493,14.583333333333334,20.25,1.0333333333333334,14.966666666666667,0.0783858998144713,0.4579720563364348,0.4513341268942871,0.458433796464948,7.65054347826087,0.006637929442147694
