bookie,rmse_panel,rmse_df_oc,rmse_publiziert,delta_zu_publiziert
10Bet,0.45063290016210017,0.44774270619196205,0.451975427976853,-0.001342527814752803
Vulkan Bet,0.4517441219697539,0.44874828378153225,0.451947286321451,-0.0002031643516970938
ComeOn,0.4541036851123833,0.45041064449259577,0.45615568515075,-0.002052000038366697
GGBET,0.4544169507341121,0.4462364965330666,0.455573539356435,-0.0011565886223229294
Betfred,0.45739748147538134,0.45892140610983584,0.458053790753761,-0.0006563092783796742
Interwetten,0.45741629687251867,0.45568138011349973,0.459858113698809,-0.002441816826290355
Dafabet,0.4579720563364348,0.4540486651935364,0.458433796464948,-0.00046174012851318835
Betfair,0.4583204779612772,0.4568114429622462,0.459519061775779,-0.0011985838145018302
1xBet,0.46000634955073305,0.4470172341061043,0.461661106669706,-0.0016547571189729493
Marathonbet,0.4604191154868889,0.4490890079632378,0.462090388634513,-0.0016712731476241083
888sport,0.46160529381650267,0.4596702993188891,0.462078647425237,-0.0004733536087343504
BetVictor,0.4621940198546001,0.46348378884816344,0.46316184574353,-0.0009678258889298519
Curebet,0.4622009038930232,0.4539706321505724,0.462608146252367,-0.0004072423593438068
Betway,0.46258126025825586,0.4582825957680514,0.464077064788558,-0.001495804530302125
VOBET,0.4629975537732495,0.4540989838764618,0.463970348387773,-0.0009727946145234867
10x10bet,0.46321576866533537,0.4548844078733184,0.464172080955981,-0.0009563122906456334
Suprabets,0.46333005728641785,0.4552363460479443,0.464308609461813,-0.0009785521753951643
Alphabet,0.46346578982538883,0.4549669877312154,0.464319271583618,-0.0008534817582291909
Lasbet,0.4634891109022461,0.4547334455928827,0.464688920179741,-0.001199809277494912
Betsafe,0.4660774895104438,0.46002316042075053,0.467001230089708,-0.0009237405792641984
Betsson,0.466213236370539,0.4599647234488093,0.466986789476982,-0.0007735531064430035
NordicBet,0.4668228930728241,0.46122218296353235,0.467581642786867,-0.0007587497140428834
BetInAsia,0.47073904535206623,0.46328319605642665,0.471611777118566,-0.000872731766499768
Pinnacle,0.4710169940574889,0.4645729193461268,0.47189855986154,-0.0008815658040510765
