Bookies,marge_median,marge_median_opening,serien,anteil
Pinnacle,0.04622184605256985,0.04896065024576424,8657,0.04694303608708619
BetInAsia,0.047838490234803466,0.0510924740675347,6373,0.034557926415963995
BetVictor,0.05555555555555558,0.061728395061728225,5618,0.03046389935742754
Betfred,0.058080808080807955,0.057110742386126345,4872,0.0264186752704498
10Bet,0.05957943925233655,0.06408916753744354,5572,0.030214461947238567
1xBet,0.06945945197129633,0.07117127365108256,13152,0.07131740910446548
NordicBet,0.07007575757575757,0.0714285714285714,4508,0.024444866198519644
Betsafe,0.07007575757575757,0.0714285714285714,4499,0.024396063226960932
Betsson,0.07007575757575757,0.0714285714285714,4517,0.024493669170078357
10x10bet,0.07022119192504594,0.07022119192504594,11132,0.06036385326573218
888sport,0.07105178661529288,0.0702614379084967,5467,0.02964509394572025
Marathonbet,0.07362389786665924,0.07391778483713418,12101,0.06561830653688691
Vulkan Bet,0.07364766081871332,0.07526881720430101,4470,0.024238809207493967
Betfair,0.07467258132657362,0.07803468208092479,3548,0.019239215898923624
GGBET,0.07553940092093403,0.07764500463796598,11602,0.06291245289157607
ComeOn,0.07665918986673725,0.0817805383022776,7995,0.0433533064013231
Betway,0.07822410147991543,0.07994389901823284,8192,0.04442154922321937
Dafabet,0.0783298826777088,0.0783858998144713,3680,0.019954992815118075
Suprabets,0.08111266947171569,0.08108108108108092,11225,0.06086815063850554
Curebet,0.08138711960368017,0.0812074457204639,7299,0.03957920993411599
Lasbet,0.08138711960368017,0.08127461510920164,11320,0.061383293116069736
VOBET,0.08138711960368017,0.08127461510920164,11490,0.062305127023289865
Alphabet,0.08138711960368017,0.08127461510920164,11421,0.0619309709080064
Interwetten,0.08283002588438304,0.08333333333333326,5705,0.03093566141582843
